"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","1  BASE 979","2  BASE 961","3  BASE 962","4  BASE 967","5  BASE 9712","6  BASE 973","7  BASE 985","8  PROP ERR","9  ADD ERR","10 KOUT","11 LGK10","12 LGKZERO","13 LGEMAX","14 LGEC50","15 HVMX","16 ST979MX","17 HVKOUT","1 SD(BASE)","2 SD(KOUT)","3 SD(K10)","4 SD(KZERO)","5 SD(EMAX)","6 SD(EC50)","7 SD(EPS)","SIGMA(1,1)","se1  BASE 979","se2  BASE 961","se3  BASE 962","se4  BASE 967","se5  BASE 9712","se6  BASE 973","se7  BASE 985","se8  PROP ERR","se9  ADD ERR","se10 KOUT","se11 LGK10","se12 LGKZERO","se13 LGEMAX","se14 LGEC50","se15 HVMX","se16 ST979MX","se17 HVKOUT","se1 SD(BASE)","se2 SD(KOUT)","se3 SD(K10)","se4 SD(KZERO)","se5 SD(EMAX)","se6 SD(EC50)","se7 SD(EPS)","seSIGMA(1,1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_eta5(%)","shrinkage_eta6(%)","shrinkage_eta7(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20","EI21","EI22","EI23","EI24","EI25"
0,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,2284.34,0,20543.2681810077,3.77038,5.46193,6.10642,5.33849,6.33346,2.95627,3.87502,0.118153,0,-3.77578,-4.54509,-5.4,0.311992,7.77594,0.629998,-0.614785,0.910634,0.0133225,0.566788,0,0,0.268458,0,0.102408,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,1,0,0,0,0,0,0,1,0,3.2,NA,FOCE_I,NA,3408.09,0,20850.4902326577,3.78642,5.46384,6.09192,5.36902,6.3443,2.96688,3.8856,0.118641,0,-3.81682,-4.61507,-5.4,0.389468,7.8815,0.552515,-0.625438,0.926406,0.0125826,0.648414,0,0,0.240801,0,0.105143,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,0,1,0,0,0,0,0,0,1,0,3.1,NA,FOCE_I,NA,4058.09,0,20398.9949526136,3.75361,5.44247,6.14188,5.29663,6.33426,2.9774,3.84202,0.119764,0,-3.98733,-4.40635,-5.4,0.400196,7.64896,0.591629,-0.740699,1.06167,0.0133701,0.448887,0,0,0.171128,0,0.0876519,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,2995.84,0,20536.9571770208,3.78483,5.45335,6.0717,5.34214,6.32778,2.95429,3.90279,0.119325,0,-3.22079,-4.63345,-5.4,0.237399,7.85304,0.845762,-0.602981,0.316842,0.0106159,0.537746,0,0,0.236464,0,0.112185,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,2659.48,0,19863.8111359742,3.79764,5.46855,6.107,5.33211,6.33871,2.95864,3.87765,0.116591,0,-3.72302,-4.63551,-5.4,0.362247,8.0026,0.721444,-0.630837,0.812549,0.0126162,0.519869,0,0,0.253961,0,0.0980692,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,0,1,0,0,0,0,0,0,1,0,3.1,NA,FOCE_I,NA,2906.15,0,21145.4899884011,3.77031,5.45931,6.09662,5.31661,6.32382,2.94614,3.852,0.118037,0,-3.96983,-4.42484,-5.4,0.333084,7.73641,0.646591,-0.530268,1.04643,0.0123127,0.496306,0,0,0.269362,0,0.110914,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,0,0,0,0,0,1,0,0,0,0,3.0,NA,FOCE_I,NA,3605.15,0,20161.2388495262,3.74129,5.44676,6.05398,5.35386,6.3381,2.93944,3.86866,0.115406,0,-3.65697,-4.60447,-5.4,0.147496,7.75152,0.68536,-0.512904,0.853174,0.0138856,0.577304,0,0,0.256532,0,0.11378,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,2765.77,0,20231.2915096418,3.77277,5.46158,6.11857,5.3708,6.30837,2.94983,3.85212,0.116201,0,-3.82735,-4.45504,-5.4,0.362919,7.58491,0.401878,-0.651748,0.89996,0.0157448,0.499769,0,0,0.215493,0,0.0856116,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,1,0,1,0,0,0,0,0,0,5,0,3.2,NA,FOCE_I,NA,6140.45,0,19690.6692905869,3.7617,5.44176,6.12315,5.31453,6.31081,2.95362,3.8893,0.115427,0,-3.63656,-4.65176,-5.4,0.188685,7.82477,0.641834,-0.472012,0.911927,0.0137559,0.471714,0,0,0.189426,0,0.0769986,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1,0,1,0,0,0,0,0,0,1,0,3.5,NA,FOCE_I,NA,4027.94,0,21007.4434357994,3.77468,5.49985,6.04944,5.35269,6.29488,2.96569,3.8798,0.119068,0,-3.73723,-4.56307,-5.4,0.343044,7.91238,0.693733,-0.5138,0.756248,0.0128357,0.452465,0,0,0.209971,0,0.0989984,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
