VPC run info
"","          Date","  observations","   simulations","     Modelfile","Simulation model","Independent variable","Dependent variable","   PsN version","NONMEM version",
"",    2015-10-26,          2000,           300,      base.mod,auto-generated,          TIME,          CONC,        v4.2.0,       default,

VPC results  
Continuous data
2000 observations out of 2000
"","        < TIME","            <=","    no. of obs","     mean real","      mean sim","95%CI for mean from","95%CI for mean to","      50% real","       50% sim","95%CI for 50% from","95%CI for 50% to","      30% real","       30% sim","95%CI for 30% from","95%CI for 30% to","      70% real","       70% sim","95%CI for 70% from","95%CI for 70% to","      10% real","       10% sim","95%CI for 10% from","95%CI for 10% to","      90% real","       90% sim","95%CI for 90% from","95%CI for 90% to","       5% real","        5% sim","95%CI for 5% from","95%CI for 5% to","      95% real","       95% sim","95%CI for 95% from","95%CI for 95% to","     2.5% real","      2.5% sim","95%CI for 2.5% from","95%CI for 2.5% to","    97.5% real","     97.5% sim","95%CI for 97.5% from","95%CI for 97.5% to","PI 40% False pos (%)","PI 40% False neg (%)","PI 80% False pos (%)","PI 80% False neg (%)","PI 90% False pos (%)","PI 90% False neg (%)","PI 95% False pos (%)","PI 95% False neg (%)",
"first interval is closed",          0.05,          0.15,           134,      13.97194,      3.598189,      2.503912,      4.853441,       13.6275,      1.292517,     0.8290342,      1.983642, 1.2550000E+01, 4.3609093E-01, 2.5687127E-01, 7.1670143E-01, 1.4691000E+01, 3.1705608E+00, 2.1443775E+00, 4.3592959E+00, 1.0810000E+01, 6.2553376E-02, 1.9639602E-02, 1.4588032E-01, 1.8260000E+01, 9.4763015E+00, 6.6831833E+00, 1.4013738E+01, 1.0143000E+01, 1.8540516E-02, 5.8290255E-03, 7.4858243E-02, 1.9604000E+01, 1.5095774E+01, 9.2998608E+00, 2.1810170E+01, 9.9909000E+00, 5.0751626E-03, 6.8337505E-04, 2.9140498E-02, 2.1609000E+01, 2.1549435E+01, 1.1850014E+01, 3.6552693E+01,             0,             0,      3.731343,     0.7462687,      4.477612,      17.16418,      1.492537,      2.985075,
"",          0.15,           0.3,           133,      10.95114,      2.264341,      1.681711,      2.984147, 1.0755000E+01,     0.8990218, 5.7981701E-01, 1.2912206E+00, 9.7172000E+00, 3.0721443E-01, 1.8679845E-01, 5.1689926E-01, 1.1712000E+01, 2.1220779E+00, 1.4950840E+00, 2.9192331E+00, 8.3567000E+00, 3.6826393E-02, 1.2101403E-02, 9.6726437E-02, 1.4472000E+01, 5.8291391E+00, 3.9586549E+00, 8.5092677E+00, 7.7971000E+00, 8.8839846E-03, 2.3526285E-03, 4.2390931E-02, 1.5279000E+01, 9.0153617E+00, 5.6710210E+00, 1.3536937E+01, 6.9725000E+00, 2.2503738E-03, 3.5692199E-04, 1.7058054E-02, 1.5997000E+01, 1.2793897E+01, 7.7559085E+00, 2.0106127E+01,             0,             0,             0,             0,      6.766917,      5.263158,      9.022556,      9.774436,
"",           0.3,          0.55,           267,      7.875085,      1.353449,      1.100526,      1.644739, 7.4512000E+00,     0.5585598, 4.2035152E-01, 7.3709000E-01, 6.1175000E+00, 1.8384544E-01, 1.2219298E-01, 2.6726758E-01, 9.9602000E+00, 1.3078264E+00, 1.0411821E+00, 1.5883503E+00, 4.8545000E+00, 1.5146864E-02, 8.1535971E-03, 3.5043913E-02, 1.1238000E+01, 3.5582195E+00, 2.7052900E+00, 4.4708157E+00, 3.3961000E+00, 3.4251653E-03, 1.2839292E-03, 1.0197648E-02, 1.1934000E+01, 5.3896239E+00, 3.9063449E+00, 7.0214359E+00, 2.3186000E+00, 1.0371693E-03, 4.0464990E-04, 3.7339187E-03, 1.2338000E+01, 7.5820602E+00, 5.1392978E+00, 9.5898517E+00,     0.7490637,             0,             0,             0,      3.370787,      3.745318,      3.370787,      8.988764,
"",          0.55,          0.85,           134,      5.726651,     0.8611628,     0.6437042,      1.091763,        5.4994,     0.3522011,     0.2307028,     0.4882528, 3.3109000E+00, 1.1019875E-01, 5.9284879E-02, 2.0017900E-01, 8.4125000E+00, 8.3518162E-01, 5.7979362E-01, 1.1258682E+00, 1.8875000E+00, 7.4937951E-03, 2.4524808E-03, 2.3734851E-02, 9.6640000E+00, 2.2700446E+00, 1.5514504E+00, 3.2144314E+00, 1.1955000E+00, 1.9382788E-03, 7.3357148E-04, 7.5190733E-03, 9.9949000E+00, 3.4240791E+00, 2.2089654E+00, 4.7605757E+00, 6.4777000E-01, 6.6388083E-04, 1.4452640E-04, 2.6469986E-03, 1.0351000E+01, 4.8029023E+00, 2.9469217E+00, 7.6712285E+00,             0,             0,     0.7462687,     0.7462687,      1.492537,      3.731343,             0,      3.731343,
"",          0.85,           1.5,           133,      3.657506,     0.6286476,     0.4601484,     0.8226828, 2.3228000E+00,     0.2516865, 1.5742988E-01, 3.7928904E-01, 1.7518000E+00, 7.2946267E-02, 3.4258823E-02, 1.3673815E-01, 5.4459000E+00, 6.1138242E-01, 4.1954433E-01, 8.6514318E-01, 7.1165000E-01, 5.0065069E-03, 1.9819297E-03, 1.5674312E-02, 7.7045000E+00, 1.6811287E+00, 1.1826340E+00, 2.2685678E+00, 2.0258000E-01, 1.4346869E-03, 5.9840775E-04, 5.0961286E-03, 8.2806000E+00, 2.5259732E+00, 1.6036257E+00, 3.4720245E+00, 6.4042000E-02, 5.5772849E-04, 1.6990424E-04, 2.5263173E-03, 8.9183000E+00, 3.4954834E+00, 2.1968345E+00, 5.0888760E+00,             0,             0,     0.7518797,     0.7518797,             0,      4.511278,             0,             0,
"",           1.5,             3,           133,      1.638344,     0.3454402,     0.2619811,     0.4655103, 4.6676000E-01,     0.1258959, 7.2433382E-02, 1.9029731E-01, 2.5086000E-01, 3.0272973E-02, 1.4926658E-02, 6.7699214E-02, 2.6855000E+00, 3.3009031E-01, 2.3222362E-01, 4.6054640E-01, 1.0153000E-01, 2.3687011E-03, 1.0255873E-03, 5.9868932E-03, 4.8027000E+00, 9.3298181E-01, 6.7138689E-01, 1.3163632E+00, 7.3025000E-02, 8.0127764E-04, 3.5439457E-04, 2.5737618E-03, 5.0729000E+00, 1.4400905E+00, 9.2692662E-01, 2.1111734E+00, 5.0827000E-02, 3.5801011E-04, 1.0844003E-04, 1.0332720E-03, 5.4070000E+00, 2.0291846E+00, 1.3012309E+00, 2.8848622E+00,     0.7518797,     0.7518797,     0.7518797,     0.7518797,     0.7518797,     0.7518797,             0,             0,
"",             3,           5.5,           267,     0.8453574,     0.1876412,     0.1492992,     0.2272956, 1.8154000E-01,    0.05777899, 3.7654798E-02, 8.4142450E-02, 1.2186000E-01, 1.2707155E-02, 7.8143848E-03, 2.0552441E-02, 1.2445000E+00, 1.6846878E-01, 1.2785767E-01, 2.1410420E-01, 6.9643000E-02, 1.2539275E-03, 7.0040118E-04, 2.2986944E-03, 2.4345000E+00, 5.1404511E-01, 3.8104786E-01, 6.3947931E-01, 5.4592000E-02, 4.7125751E-04, 2.4961706E-04, 8.3090131E-04, 2.8567000E+00, 7.9797570E-01, 5.8118751E-01, 1.0602445E+00, 4.7111000E-02, 2.0488415E-04, 9.9291557E-05, 4.3936315E-04, 3.0378000E+00, 1.1424699E+00, 7.5758293E-01, 1.4873420E+00,             0,      2.621723,     0.3745318,     0.3745318,     0.7490637,     0.7490637,      1.498127,             0,
"",           5.5,           8.5,           133,     0.4459947,     0.1143956,    0.07899572,     0.1569961, 1.0430000E-01,    0.02794337, 1.4698716E-02, 4.8920807E-02, 7.0459000E-02, 5.6900472E-03, 3.2508750E-03, 1.1631614E-02, 5.2775000E-01, 9.3358836E-02, 5.5783440E-02, 1.3565784E-01, 4.6066000E-02, 6.4126014E-04, 2.9991223E-04, 1.5026660E-03, 1.3984000E+00, 3.1426742E-01, 2.0533726E-01, 4.3318174E-01, 3.0912000E-02, 2.5237703E-04, 1.3120900E-04, 6.9373841E-04, 1.5791000E+00, 4.9817629E-01, 3.0770724E-01, 7.2608302E-01, 2.0541000E-02, 1.1803538E-04, 4.2600238E-05, 3.0616523E-04, 1.8228000E+00, 7.4803332E-01, 4.2830501E-01, 1.2454285E+00,      1.503759,      2.255639,     0.7518797,     0.7518797,     0.7518797,     0.7518797,             0,      2.255639,
"",           8.5,            15,           133,     0.2938345,    0.07956877,     0.0550422,     0.1125775, 5.5462000E-02,    0.01561492, 8.0968299E-03, 2.9406513E-02, 3.5586000E-02, 3.0113325E-03, 1.4713384E-03, 5.7576184E-03, 3.6589000E-01, 5.9157845E-02, 3.5848060E-02, 8.8429297E-02, 2.0303000E-02, 3.4495547E-04, 1.7837515E-04, 7.9488057E-04, 9.2996000E-01, 2.1644623E-01, 1.4421337E-01, 3.1262945E-01, 1.6813000E-02, 1.3461865E-04, 6.3679592E-05, 3.7110546E-04, 1.0781000E+00, 3.5859125E-01, 2.0744299E-01, 5.2328088E-01, 1.2455000E-02, 6.3420660E-05, 1.8776506E-05, 2.0501888E-04, 1.1890000E+00, 5.3901748E-01, 3.0970351E-01, 8.8779658E-01,      3.007519,      3.007519,             0,     0.7518797,             0,             0,      3.759398,      1.503759,
"",            15,            30,           134,     0.1350214,    0.03671988,    0.02346109,    0.05653616,     0.0212605,   0.002896813,   0.001308306,   0.006206399, 8.6538000E-03, 4.5914989E-04, 2.5140693E-04, 8.6609919E-04, 1.8358000E-01, 1.9066467E-02, 8.6617845E-03, 3.2161826E-02, 4.6175000E-03, 5.0386517E-05, 2.4199601E-05, 1.0305047E-04, 4.3888000E-01, 1.0017098E-01, 6.1993768E-02, 1.5302651E-01, 3.5521000E-03, 1.8534895E-05, 8.6781378E-06, 4.9996968E-05, 5.1708000E-01, 1.7908042E-01, 1.0270451E-01, 2.7437713E-01, 2.7620000E-03, 7.7024842E-06, 2.4823056E-06, 2.2428113E-05, 5.9077000E-01, 2.8649180E-01, 1.5020509E-01, 4.8178016E-01,             0,     0.7462687,     0.7462687,             0,      1.492537,             0,     0.7462687,      2.238806,
"",            30,            55,           266,    0.01785486,    0.01418585,   0.008773689,     0.0202067,   0.000439435,  0.0001232376,6.8233127e-005,  0.0002563732, 1.9570000E-04, 1.4483468E-05, 8.6557545E-06, 2.7003029E-05, 1.0172000E-02, 2.1307551E-03, 8.6534163E-04, 4.9956778E-03, 8.1000000E-05, 9.9588931E-07, 5.5019993E-07, 2.1201448E-06, 6.4058000E-02, 3.7703676E-02, 2.3780459E-02, 5.4798956E-02, 4.5500000E-05, 2.8329083E-07, 1.2470668E-07, 7.9699572E-07, 9.2931000E-02, 7.6013980E-02, 4.8726397E-02, 1.0715754E-01, 3.5300000E-05, 9.4918947E-08, 3.4332847E-08, 3.1405586E-07, 1.2293000E-01, 1.2822659E-01, 7.3147429E-02, 1.8195063E-01,     0.7518797,      1.503759,     0.7518797,      2.255639,     0.3759398,      2.631579,     0.3759398,       1.12782,
"",            55,            85,           133,   0.001315976,   0.005943551,   0.002769131,    0.01134074, 4.0100000E-06,1.51318015e-006, 4.1176727E-07, 6.1283879E-06, 1.1500000E-06, 9.2315652E-08, 2.7967187E-08, 3.1828643E-07, 2.4061000E-04, 6.3547447E-05, 8.6347494E-06, 5.1104031E-04, 2.9300000E-07, 1.9612611E-09, 4.3900294E-10, 9.0307408E-09, 3.1722000E-03, 1.3511821E-02, 3.6003497E-03, 3.0467699E-02, 2.2400000E-07, 2.8767720E-10, 5.4387768E-11, 2.3251909E-09, 7.6189000E-03, 3.2935329E-02, 1.3677695E-02, 6.0995251E-02, 6.2300000E-08, 4.8640067E-11, 2.8700766E-12, 5.5006306E-10, 1.4710000E-02, 6.0230952E-02, 2.4429799E-02, 1.0905050E-01,             0,      1.503759,      1.503759,     0.7518797,             0,             0,             0,             0,

Diagnostics VPC  
""," False pos (%)"," False neg (%)",
"       PI 40% ",          0.55,           1.1,
"       PI 80% ",          0.75,           0.7,
"       PI 90% ",          1.65,           3.1,
"       PI 95% ",           1.7,          2.85,

NPC results  
bin 2: 134 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      41.04478,      58.95522,           134,           100,             *,      41.04478,      58.95522,
"        40% PI",             0,             0,             *,      21.64179,      38.80597,           134,           100,             *,      21.64179,      38.80597,
"        80% PI",             0,             0,             *,      5.223881,      16.41791,           128,      95.52239,             *,      5.223881,      15.67164,
"        90% PI",             0,             0,             *,      1.492537,      9.701493,            50,      37.31343,             *,      1.492537,      8.955224,
"        95% PI",             0,             0,              ,             0,      5.223881,             6,      4.477612,              ,             0,      5.223881,

NPC results  
bin 3: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      42.10526,      58.64662,           133,           100,             *,      41.35338,      57.89474,
"        40% PI",             0,             0,             *,      21.80451,      38.34586,           133,           100,             *,      22.55639,      37.59398,
"        80% PI",             0,             0,             *,      5.263158,      15.78947,           130,      97.74436,             *,      5.263158,      15.78947,
"        90% PI",             0,             0,             *,      1.503759,      9.022556,           104,      78.19549,             *,      1.503759,      9.774436,
"        95% PI",             0,             0,              ,             0,      5.263158,            30,      22.55639,             *,             0,      6.015038,

NPC results  
bin 4: 267 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      43.44569,      55.80524,           267,           100,             *,      44.19476,      56.55431,
"        40% PI",             0,             0,             *,      24.34457,      35.95506,           264,       98.8764,             *,      24.34457,      35.95506,
"        80% PI",             0,             0,             *,      6.741573,      13.85768,           251,      94.00749,             *,      6.741573,      13.85768,
"        90% PI",             0,             0,             *,      2.621723,      7.490637,           221,      82.77154,             *,      2.621723,      7.865169,
"        95% PI",             0,             0,             *,     0.7490637,      4.494382,           143,      53.55805,             *,     0.7490637,      4.494382,

NPC results  
bin 5: 134 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             2,      1.492537,             *,      41.79104,      56.71642,           132,      98.50746,             *,      43.28358,      58.20896,
"        40% PI",             0,             0,             *,      21.64179,      36.56716,           130,      97.01493,             *,      22.38806,      37.31343,
"        80% PI",             0,             0,             *,      5.223881,      16.41791,           116,      86.56716,             *,      5.223881,      15.67164,
"        90% PI",             0,             0,             *,      1.492537,      8.955224,            96,      71.64179,             *,      1.492537,      8.955224,
"        95% PI",             0,             0,              ,             0,      4.477612,            75,      55.97015,             *,             0,      5.223881,

NPC results  
bin 6: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             8,      6.015038,             *,       40.6015,       59.3985,           125,      93.98496,             *,       40.6015,       59.3985,
"        40% PI",             4,      3.007519,             *,      21.80451,      39.09774,           122,      91.72932,             *,      22.55639,      37.59398,
"        80% PI",             0,             0,             *,      5.263158,      15.03759,            94,      70.67669,             *,      5.263158,      15.03759,
"        90% PI",             0,             0,             *,      1.503759,      9.022556,            65,      48.87218,             *,      1.503759,      9.022556,
"        95% PI",             0,             0,             *,     0.7518797,      5.263158,            54,       40.6015,             *,             0,      5.263158,

NPC results  
bin 7: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            19,      14.28571,             *,      41.35338,       59.3985,           114,      85.71429,             *,       40.6015,      58.64662,
"        40% PI",             0,             0,             *,      22.55639,      37.59398,            81,      60.90226,             *,      23.30827,      39.09774,
"        80% PI",             0,             0,             *,      5.263158,      15.78947,            48,      36.09023,             *,      5.263158,      15.78947,
"        90% PI",             0,             0,             *,      1.503759,      9.022556,            45,      33.83459,             *,      1.503759,      9.022556,
"        95% PI",             0,             0,              ,             0,      5.263158,            42,      31.57895,             *,             0,      5.263158,

NPC results  
bin 8: 267 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            19,      7.116105,             *,      44.19476,      55.80524,           248,       92.8839,             *,      44.19476,      55.80524,
"        40% PI",             0,             0,             *,       24.7191,      35.58052,           144,      53.93258,             *,      24.34457,      35.20599,
"        80% PI",             0,             0,             *,      6.741573,      13.85768,           111,      41.57303,             *,      6.367041,      13.48315,
"        90% PI",             0,             0,             *,      2.621723,      7.865169,            95,      35.58052,             *,      2.621723,      7.865169,
"        95% PI",             0,             0,             *,     0.7490637,       4.11985,            80,      29.96255,             *,     0.7490637,       4.11985,

NPC results  
bin 9: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             6,      4.511278,             *,      41.35338,      58.64662,           127,      95.48872,             *,      41.35338,      58.64662,
"        40% PI",             0,             0,             *,      22.55639,      37.59398,            71,      53.38346,             *,      21.80451,      37.59398,
"        80% PI",             0,             0,             *,      4.511278,      15.03759,            51,      38.34586,             *,      5.263158,      15.03759,
"        90% PI",             0,             0,             *,      2.255639,      9.022556,            41,      30.82707,             *,      1.503759,      9.022556,
"        95% PI",             0,             0,              ,             0,      5.263158,            36,      27.06767,             *,             0,      5.263158,

NPC results  
bin 10: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             6,      4.511278,             *,      42.10526,      58.64662,           127,      95.48872,             *,      41.35338,      57.89474,
"        40% PI",             0,             0,             *,      22.55639,      38.34586,            66,      49.62406,             *,      22.55639,      37.59398,
"        80% PI",             0,             0,             *,      5.263158,      15.03759,            44,      33.08271,             *,      5.263158,      14.28571,
"        90% PI",             0,             0,             *,      1.503759,      9.022556,            41,      30.82707,             *,      1.503759,      9.022556,
"        95% PI",             0,             0,              ,             0,      5.263158,            31,      23.30827,             *,             0,      5.263158,

NPC results  
bin 11: 134 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             5,      3.731343,             *,      41.79104,      59.70149,           129,      96.26866,             *,      40.29851,      58.20896,
"        40% PI",             0,             0,             *,      23.13433,       38.0597,            68,      50.74627,             *,      23.13433,       38.0597,
"        80% PI",             0,             0,             *,      5.223881,      14.92537,            49,      36.56716,             *,      5.223881,      14.92537,
"        90% PI",             0,             0,             *,      1.492537,      8.955224,            39,      29.10448,             *,      1.492537,      8.208955,
"        95% PI",             0,             0,              ,             0,      5.223881,            27,      20.14925,             *,             0,      5.223881,

NPC results  
bin 12: 266 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            51,      19.17293,             *,      43.98496,       55.6391,           215,      80.82707,             *,       44.3609,      56.01504,
"        40% PI",             2,     0.7518797,             *,      25.18797,      34.96241,            98,      36.84211,             *,      24.43609,      35.33835,
"        80% PI",             0,             0,             *,      6.766917,      13.90977,            49,      18.42105,             *,      6.766917,      13.15789,
"        90% PI",             0,             0,             *,      2.631579,      7.518797,            27,      10.15038,             *,      2.631579,      7.518797,
"        95% PI",             0,             0,             *,     0.7518797,      4.511278,             8,      3.007519,              ,     0.7518797,      4.135338,

NPC results  
bin 13: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            45,      33.83459,             *,      42.10526,      58.64662,            88,      66.16541,             *,      41.35338,      57.89474,
"        40% PI",             4,      3.007519,             *,      21.80451,      38.34586,            45,      33.83459,              ,      22.55639,      38.34586,
"        80% PI",             0,             0,             *,      5.263158,      15.03759,             3,      2.255639,             *,      6.015038,      15.03759,
"        90% PI",             0,             0,             *,      1.503759,      9.022556,             0,             0,             *,      1.503759,      9.774436,
"        95% PI",             0,             0,              ,             0,      5.263158,             0,             0,              ,             0,      5.263158,
