VPC run info
"","          Date","  observations","   simulations","     Modelfile","Simulation model","Independent variable","Dependent variable","   PsN version","NONMEM version",
"",    2015-10-27,          2000,           300,      base.mod,auto-generated,          TIME,          CONC,        v4.2.0,       default,

VPC results strata GNDR = 0
Continuous data
945 observations out of 2000
"","        < TIME","            <=","    no. of obs","     mean real","      mean sim","95%CI for mean from","95%CI for mean to","      50% real","       50% sim","95%CI for 50% from","95%CI for 50% to","      30% real","       30% sim","95%CI for 30% from","95%CI for 30% to","      70% real","       70% sim","95%CI for 70% from","95%CI for 70% to","      10% real","       10% sim","95%CI for 10% from","95%CI for 10% to","      90% real","       90% sim","95%CI for 90% from","95%CI for 90% to","       5% real","        5% sim","95%CI for 5% from","95%CI for 5% to","      95% real","       95% sim","95%CI for 95% from","95%CI for 95% to","     2.5% real","      2.5% sim","95%CI for 2.5% from","95%CI for 2.5% to","    97.5% real","     97.5% sim","95%CI for 97.5% from","95%CI for 97.5% to","PI 40% False pos (%)","PI 40% False neg (%)","PI 80% False pos (%)","PI 80% False neg (%)","PI 90% False pos (%)","PI 90% False neg (%)","PI 95% False pos (%)","PI 95% False neg (%)",
"first interval is closed",          0.05,          0.15,            74,      14.76329,      3.601657,      2.333943,      5.144763,        14.174,      1.298429,     0.7909937,      2.130366, 1.3113000E+01, 4.3996185E-01, 2.4365655E-01, 8.3564793E-01, 1.5572000E+01, 3.2651715E+00, 1.9050425E+00, 4.9328976E+00, 1.0721000E+01, 6.2630736E-02, 2.1109771E-02, 1.8119061E-01, 1.9604000E+01, 9.4433712E+00, 5.4736952E+00, 1.4374734E+01, 1.0143000E+01, 2.0772053E-02, 5.7219534E-03, 9.9229003E-02, 2.1293000E+01, 1.4789777E+01, 7.4432249E+00, 2.1748423E+01, 1.0102000E+01, 5.9571994E-03, 1.0040119E-03, 5.8360416E-02, 2.1767000E+01, 2.1229414E+01, 9.4620485E+00, 3.2959817E+01,             0,             0,      2.702703,             0,      6.756757,      13.51351,      5.405405,             0,
"",          0.15,           0.3,            62,      12.43169,       2.27995,      1.503778,      3.207445,        12.317,     0.9045796,     0.5135725,      1.495707, 1.1194000E+01, 3.1012205E-01, 1.3396539E-01, 6.2170460E-01, 1.3999000E+01, 2.1258080E+00, 1.3610745E+00, 3.4755472E+00, 9.5430000E+00, 3.7612030E-02, 9.5005471E-03, 1.4973415E-01, 1.5346000E+01, 5.8508029E+00, 3.4979551E+00, 9.0684512E+00, 8.8437000E+00, 8.9830955E-03, 1.0780263E-03, 7.0799668E-02, 1.5997000E+01, 9.1168742E+00, 4.8608781E+00, 1.4882610E+01, 8.7921000E+00, 2.4044966E-03, 5.6687768E-04, 5.4175715E-02, 1.6002000E+01, 1.3109383E+01, 5.5424469E+00, 1.8134988E+01,             0,             0,             0,             0,             0,      3.225806,      8.064516,      11.29032,
"",           0.3,          0.55,           127,       9.99019,      1.343001,      1.000578,      1.731946, 1.0265000E+01,     0.5575309, 3.7160669E-01, 8.6315135E-01, 9.5187000E+00, 1.8676342E-01, 1.0452157E-01, 3.4501121E-01, 1.0898000E+01, 1.2968293E+00, 9.2602245E-01, 1.7410914E+00, 8.3562000E+00, 1.6444373E-02, 5.2832258E-03, 5.4436017E-02, 1.1934000E+01, 3.5246778E+00, 2.3116905E+00, 4.8074198E+00, 5.0936000E+00, 3.6701261E-03, 9.3471028E-04, 1.7462945E-02, 1.2381000E+01, 5.3471552E+00, 3.5903837E+00, 7.7163258E+00, 3.3153000E+00, 1.1342800E-03, 2.0961318E-04, 6.4963838E-03, 1.3261000E+01, 7.5335710E+00, 4.4986406E+00, 1.1217833E+01,             0,             0,             0,             0,             0,             0,      3.149606,      1.574803,
"",          0.55,          0.85,            74,      7.918751,     0.8491427,     0.6081871,      1.166458,       8.52915,     0.3482279,     0.2069461,     0.5681372, 7.8070000E+00, 1.0987960E-01, 4.4935781E-02, 2.2330715E-01, 9.0926000E+00, 8.2860439E-01, 5.2913338E-01, 1.2037263E+00, 5.6417000E+00, 7.9325263E-03, 2.0400380E-03, 3.2560860E-02, 9.9949000E+00, 2.2227093E+00, 1.4992913E+00, 3.3482996E+00, 4.1359000E+00, 1.9327017E-03, 5.4969108E-04, 1.6711211E-02, 1.0238000E+01, 3.3793651E+00, 1.8848843E+00, 4.7682878E+00, 8.5398000E-01, 6.9384289E-04, 1.9612680E-04, 6.7785792E-03, 1.0436000E+01, 4.7335530E+00, 2.3139859E+00, 7.0400938E+00,             0,             0,             0,             0,             0,             0,             0,      1.351351,
"",          0.85,           1.5,            62,      6.073141,     0.6357946,     0.3928915,     0.9388268,        6.4734,     0.2641623,     0.1364284,     0.4705152, 5.2749000E+00, 8.0544751E-02, 3.0692521E-02, 1.8834568E-01, 7.4961000E+00, 6.2374120E-01, 3.6930042E-01, 9.4114202E-01, 3.1950000E+00, 5.6275187E-03, 1.5817778E-03, 2.9326828E-02, 8.3636000E+00, 1.6437548E+00, 9.4742344E-01, 2.5643634E+00, 2.1349000E+00, 1.5879326E-03, 3.7014192E-04, 9.5497974E-03, 8.9183000E+00, 2.5065961E+00, 1.2588977E+00, 3.9560974E+00, 6.6484000E-01, 5.6255478E-04, 2.0647670E-04, 7.6999350E-03, 8.9959000E+00, 3.4954144E+00, 1.4748778E+00, 4.8290250E+00,             0,             0,             0,             0,             0,      1.612903,             0,             0,
"",           1.5,             3,            53,      3.615349,     0.3440836,     0.2020428,     0.5261569, 4.0520000E+00,     0.1273195, 5.2940007E-02, 2.4157204E-01, 3.2024000E+00, 3.2661425E-02, 1.1683586E-02, 9.8428895E-02, 4.5505000E+00, 3.2458045E-01, 1.6562282E-01, 5.4723247E-01, 7.9633000E-01, 2.6398206E-03, 7.4716978E-04, 1.1696214E-02, 5.2748000E+00, 9.1966260E-01, 5.0768266E-01, 1.5705478E+00, 2.8335000E-01, 8.6368503E-04, 3.4937659E-04, 6.8214884E-03, 5.4070000E+00, 1.4095723E+00, 5.9721372E-01, 2.2415935E+00, 1.0153000E-01, 3.5395530E-04, 6.7146480E-05, 2.8164595E-03, 5.5354000E+00, 1.9822363E+00, 8.3473144E-01, 3.4786924E+00,             0,             0,             0,             0,             0,      1.886792,             0,      1.886792,
"",             3,           5.5,           136,      1.550992,     0.1856192,     0.1315329,     0.2411316,        1.6027,    0.05893699,    0.03428064,    0.09078939, 8.2529000E-01, 1.3793194E-02, 7.5403608E-03, 2.7699320E-02, 2.2609000E+00, 1.6661237E-01, 1.1537998E-01, 2.3031788E-01, 3.0075000E-01, 1.3480239E-03, 6.6214412E-04, 3.2881387E-03, 2.8567000E+00, 5.0322047E-01, 3.5087083E-01, 7.0952334E-01, 1.5622000E-01, 4.9964629E-04, 2.5366312E-04, 1.2750484E-03, 3.0378000E+00, 7.9300286E-01, 4.9707644E-01, 1.1012523E+00, 6.1628000E-02, 2.0946529E-04, 6.8364982E-05, 6.2638591E-04, 3.0760000E+00, 1.1200416E+00, 6.5980260E-01, 1.8111374E+00,             0,             0,      1.470588,     0.7352941,      1.470588,     0.7352941,      2.941176,     0.7352941,
"",           5.5,           8.5,            62,     0.8792785,     0.1120345,    0.06846217,     0.1889687,      0.806065,    0.02898398,    0.01150531,     0.0654498, 4.1732000E-01, 6.1835813E-03, 2.3468870E-03, 1.5990129E-02, 1.2828000E+00, 9.1558392E-02, 4.9820296E-02, 1.6313072E-01, 1.8807000E-01, 7.0427841E-04, 2.7530141E-04, 2.1254394E-03, 1.6124000E+00, 3.0496315E-01, 1.5837462E-01, 5.0536529E-01, 1.1707000E-01, 2.6083113E-04, 8.7859815E-05, 9.9647978E-04, 1.8228000E+00, 4.9483336E-01, 2.4652425E-01, 8.4051812E-01, 5.5677000E-02, 1.1515440E-04, 4.5234533E-05, 6.8712236E-04, 1.8927000E+00, 7.1859680E-01, 2.9245416E-01, 1.0861261E+00,             0,             0,      1.612903,      1.612903,      1.612903,      1.612903,      1.612903,             0,
"",           8.5,            15,            53,     0.6785333,    0.08055698,    0.04117273,     0.1410605, 7.2282000E-01,    0.01616037, 5.7787711E-03, 4.1083630E-02, 5.0370000E-01, 3.1136082E-03, 1.2610376E-03, 1.0042179E-02, 8.6354000E-01, 6.0032393E-02, 2.5226553E-02, 1.1930257E-01, 1.3576000E-01, 3.6123280E-04, 1.2859474E-04, 1.1819673E-03, 1.1413000E+00, 2.2162502E-01, 1.0193883E-01, 4.0220195E-01, 6.6999000E-02, 1.4138677E-04, 6.4289949E-05, 8.2859173E-04, 1.1890000E+00, 3.6369326E-01, 1.4576102E-01, 6.7951891E-01, 2.4951000E-02, 6.4600443E-05, 1.3730926E-05, 3.7628740E-04, 1.3506000E+00, 5.5011556E-01, 2.4508630E-01, 1.0686513E+00,             0,             0,             0,      1.886792,      3.773585,             0,      1.886792,      3.773585,
"",            15,            30,            74,     0.2384239,     0.0363375,    0.02008474,    0.05829555,      0.204495,   0.002898068,   0.001069095,    0.00767157, 9.2140000E-02, 4.8047979E-04, 2.1267465E-04, 1.3849583E-03, 3.2812000E-01, 1.9246793E-02, 7.6079669E-03, 4.0418889E-02, 2.4980000E-02, 5.2474529E-05, 2.0546198E-05, 1.5343949E-04, 5.1708000E-01, 1.0040118E-01, 4.9100088E-02, 1.7766211E-01, 9.8075000E-03, 1.9502632E-05, 8.6629058E-06, 8.9599482E-05, 5.7239000E-01, 1.7776318E-01, 8.2161487E-02, 2.8468204E-01, 4.6175000E-03, 9.1149898E-06, 3.2865455E-06, 4.9461734E-05, 6.7833000E-01, 2.7293456E-01, 1.1519476E-01, 4.8618246E-01,      1.351351,             0,      1.351351,      1.351351,      4.054054,      1.351351,      1.351351,      5.405405,
"",            30,            55,           115,    0.04093963,    0.01464756,   0.006723726,    0.02547395, 2.9978000E-02,  0.0001262597, 4.8582962E-05, 4.3746985E-04, 8.7615000E-03, 1.5096091E-05, 5.4544583E-06, 4.0964450E-05, 5.1177000E-02, 2.0646066E-03, 4.9852396E-04, 8.0591606E-03, 1.1424000E-03, 1.0880168E-06, 4.0092393E-07, 3.1683265E-06, 9.6902000E-02, 3.9142152E-02, 1.8501747E-02, 7.2235708E-02, 4.3513000E-04, 3.1185288E-07, 8.5970230E-08, 1.2149469E-06, 1.2667000E-01, 7.8175757E-02, 3.4433006E-02, 1.2729575E-01, 8.1700000E-05, 9.8757121E-08, 1.7874470E-08, 6.2634203E-07, 1.5336000E-01, 1.2997684E-01, 5.2497622E-02, 2.3167630E-01,      2.608696,     0.8695652,     0.8695652,      2.608696,     0.8695652,      2.608696,       1.73913,     0.8695652,
"",            55,            85,            53,   0.003297431,   0.006534281,    0.00134948,    0.01547833, 1.4402000E-03,1.48542255e-006, 2.3778939E-07, 9.6851859E-06, 4.6944000E-04, 8.7395460E-08, 1.7118498E-08, 6.9035253E-07, 2.8698000E-03, 6.0925652E-05, 3.1815588E-06, 1.4744839E-03, 1.2900000E-05, 2.0355160E-09, 2.4336710E-10, 2.0221845E-08, 8.8424000E-03, 1.4597495E-02, 7.5528941E-04, 3.8078862E-02, 2.2100000E-06, 2.9466868E-10, 4.8857606E-11, 7.6921159E-09, 1.4710000E-02, 3.5295442E-02, 4.8934341E-03, 7.6464308E-02, 1.9300000E-07, 5.9994859E-11, 5.7127939E-13, 2.0729609E-09, 1.8054000E-02, 6.6098982E-02, 1.4425610E-02, 1.9104112E-01,      1.886792,      5.660377,             0,             0,             0,             0,             0,             0,

Diagnostics VPC strata GNDR = 0
""," False pos (%)"," False neg (%)",
"       PI 40% ",     0.5291005,     0.4232804,
"       PI 80% ",     0.7407407,     0.7407407,
"       PI 90% ",      1.481481,      2.116402,
"       PI 95% ",      2.328042,      2.010582,

NPC results strata GNDR = 0
bin 2: 74 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      39.18919,      60.81081,            74,           100,             *,      39.18919,      60.81081,
"        40% PI",             0,             0,             *,      20.27027,      40.54054,            74,           100,             *,      20.27027,      39.18919,
"        80% PI",             0,             0,             *,      4.054054,      16.21622,            70,      94.59459,             *,      4.054054,      17.56757,
"        90% PI",             0,             0,              ,             0,      10.81081,            36,      48.64865,             *,      1.351351,      10.81081,
"        95% PI",             0,             0,              ,             0,      5.405405,             1,      1.351351,              ,             0,      5.405405,

NPC results strata GNDR = 0
bin 3: 62 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      37.09677,      61.29032,            62,           100,             *,      38.70968,      62.90323,
"        40% PI",             0,             0,             *,      19.35484,      41.93548,            62,           100,             *,      19.35484,      41.93548,
"        80% PI",             0,             0,             *,      3.225806,      19.35484,            61,       98.3871,             *,      3.225806,      16.12903,
"        90% PI",             0,             0,              ,             0,      11.29032,            60,      96.77419,             *,             0,      11.29032,
"        95% PI",             0,             0,              ,             0,      6.451613,            27,      43.54839,             *,             0,      6.451613,

NPC results strata GNDR = 0
bin 4: 127 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      40.15748,      57.48031,           127,           100,             *,      42.51969,      59.84252,
"        40% PI",             0,             0,             *,      22.04724,      37.79528,           127,           100,             *,      22.04724,      38.58268,
"        80% PI",             0,             0,             *,      4.724409,      14.96063,           123,      96.85039,             *,      4.724409,      15.74803,
"        90% PI",             0,             0,             *,      1.574803,      9.448819,           120,      94.48819,             *,      1.574803,      8.661417,
"        95% PI",             0,             0,              ,             0,      5.511811,           115,      90.55118,             *,     0.7874016,      4.724409,

NPC results strata GNDR = 0
bin 5: 74 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             1,      1.351351,             *,      39.18919,      60.81081,            73,      98.64865,             *,      39.18919,      60.81081,
"        40% PI",             0,             0,             *,      18.91892,      39.18919,            72,       97.2973,             *,      20.27027,      40.54054,
"        80% PI",             0,             0,             *,      4.054054,      16.21622,            70,      94.59459,             *,      4.054054,      16.21622,
"        90% PI",             0,             0,             *,      1.351351,      9.459459,            70,      94.59459,             *,             0,      9.459459,
"        95% PI",             0,             0,              ,             0,      6.756757,            68,      91.89189,             *,             0,      5.405405,

NPC results strata GNDR = 0
bin 6: 62 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             2,      3.225806,             *,      35.48387,      64.51613,            60,      96.77419,             *,      35.48387,      64.51613,
"        40% PI",             1,      1.612903,             *,      17.74194,      41.93548,            60,      96.77419,             *,      19.35484,      41.93548,
"        80% PI",             0,             0,             *,      3.225806,      17.74194,            59,      95.16129,             *,      3.225806,      19.35484,
"        90% PI",             0,             0,             *,      1.612903,      11.29032,            57,      91.93548,             *,             0,      11.29032,
"        95% PI",             0,             0,              ,             0,      6.451613,            54,      87.09677,             *,             0,      6.451613,

NPC results strata GNDR = 0
bin 7: 53 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             2,      3.773585,             *,      35.84906,      62.26415,            51,      96.22642,             *,      37.73585,      64.15094,
"        40% PI",             0,             0,             *,      16.98113,      43.39623,            49,      92.45283,             *,      18.86792,      43.39623,
"        80% PI",             0,             0,             *,      1.886792,      18.86792,            47,      88.67925,             *,      1.886792,      18.86792,
"        90% PI",             0,             0,              ,             0,      13.20755,            47,      88.67925,             *,             0,      11.32075,
"        95% PI",             0,             0,              ,             0,       7.54717,            43,      81.13208,             *,             0,       7.54717,

NPC results strata GNDR = 0
bin 8: 136 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             2,      1.470588,             *,      41.17647,      58.82353,           134,      98.52941,             *,      41.17647,      58.82353,
"        40% PI",             0,             0,             *,      22.79412,      38.23529,           128,      94.11765,             *,      22.79412,          37.5,
"        80% PI",             0,             0,             *,      5.147059,      14.70588,           110,      80.88235,             *,      5.147059,      14.70588,
"        90% PI",             0,             0,             *,      2.205882,      8.088235,            94,      69.11765,             *,      1.470588,      8.823529,
"        95% PI",             0,             0,              ,             0,      5.147059,            82,      60.29412,             *,             0,      5.147059,

NPC results strata GNDR = 0
bin 9: 62 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             1,      1.612903,             *,      38.70968,      64.51613,            61,       98.3871,             *,      35.48387,      61.29032,
"        40% PI",             0,             0,             *,      20.96774,      41.93548,            59,      95.16129,             *,      19.35484,      41.93548,
"        80% PI",             0,             0,             *,      3.225806,      17.74194,            51,      82.25806,             *,      3.225806,      17.74194,
"        90% PI",             0,             0,             *,      1.612903,      9.677419,            41,      66.12903,             *,             0,      11.29032,
"        95% PI",             0,             0,              ,             0,      6.451613,            32,       51.6129,             *,             0,      6.451613,

NPC results strata GNDR = 0
bin 10: 53 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             1,      1.886792,             *,      35.84906,      62.26415,            52,      98.11321,             *,      37.73585,      64.15094,
"        40% PI",             0,             0,             *,      16.98113,      43.39623,            50,      94.33962,             *,      16.98113,      41.50943,
"        80% PI",             0,             0,             *,      1.886792,      18.86792,            44,      83.01887,             *,      3.773585,      18.86792,
"        90% PI",             0,             0,              ,             0,      11.32075,            39,      73.58491,             *,             0,      11.32075,
"        95% PI",             0,             0,              ,             0,       7.54717,            35,      66.03774,             *,             0,       7.54717,

NPC results strata GNDR = 0
bin 11: 74 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             1,      1.351351,             *,      39.18919,      60.81081,            73,      98.64865,             *,      39.18919,      60.81081,
"        40% PI",             0,             0,             *,      20.27027,      40.54054,            66,      89.18919,             *,      20.27027,      40.54054,
"        80% PI",             0,             0,             *,      4.054054,      17.56757,            50,      67.56757,             *,      4.054054,      16.21622,
"        90% PI",             0,             0,             *,      1.351351,      10.81081,            39,       52.7027,             *,      1.351351,      10.81081,
"        95% PI",             0,             0,              ,             0,      6.756757,            29,      39.18919,             *,             0,      6.756757,

NPC results strata GNDR = 0
bin 12: 115 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             4,      3.478261,             *,            40,      59.13043,           111,      96.52174,             *,      40.86957,            60,
"        40% PI",             0,             0,             *,      20.86957,            40,            96,      83.47826,             *,      21.73913,            40,
"        80% PI",             0,             0,             *,      4.347826,      14.78261,            46,            40,             *,      4.347826,       17.3913,
"        90% PI",             0,             0,             *,       1.73913,      9.565217,            23,            20,             *,       1.73913,      9.565217,
"        95% PI",             0,             0,              ,             0,      5.217391,             5,      4.347826,              ,             0,      5.217391,

NPC results strata GNDR = 0
bin 13: 53 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             3,      5.660377,             *,      37.73585,      64.15094,            50,      94.33962,             *,      35.84906,      62.26415,
"        40% PI",             2,      3.773585,             *,      18.86792,      43.39623,            44,      83.01887,             *,      18.86792,      41.50943,
"        80% PI",             0,             0,             *,      1.886792,      18.86792,             4,       7.54717,              ,      1.886792,      18.86792,
"        90% PI",             0,             0,              ,             0,      11.32075,             0,             0,              ,             0,      11.32075,
"        95% PI",             0,             0,              ,             0,       7.54717,             0,             0,              ,             0,       7.54717,

VPC results strata GNDR = 1
Continuous data
1055 observations out of 2000
"","        < TIME","            <=","    no. of obs","     mean real","      mean sim","95%CI for mean from","95%CI for mean to","      50% real","       50% sim","95%CI for 50% from","95%CI for 50% to","      30% real","       30% sim","95%CI for 30% from","95%CI for 30% to","      70% real","       70% sim","95%CI for 70% from","95%CI for 70% to","      10% real","       10% sim","95%CI for 10% from","95%CI for 10% to","      90% real","       90% sim","95%CI for 90% from","95%CI for 90% to","       5% real","        5% sim","95%CI for 5% from","95%CI for 5% to","      95% real","       95% sim","95%CI for 95% from","95%CI for 95% to","     2.5% real","      2.5% sim","95%CI for 2.5% from","95%CI for 2.5% to","    97.5% real","     97.5% sim","95%CI for 97.5% from","95%CI for 97.5% to","PI 40% False pos (%)","PI 40% False neg (%)","PI 80% False pos (%)","PI 80% False neg (%)","PI 90% False pos (%)","PI 90% False neg (%)","PI 95% False pos (%)","PI 95% False neg (%)",
"first interval is closed",          0.05,          0.15,            60,      12.99595,      3.657123,      2.312131,      5.971296,       12.9525,      1.315843,     0.6828338,      2.433564, 1.2006000E+01, 4.4346156E-01, 2.0623591E-01, 9.1395643E-01, 1.4005000E+01, 3.2488474E+00, 1.7936598E+00, 4.7173694E+00, 1.1091000E+01, 6.6681951E-02, 1.9606835E-02, 2.3836390E-01, 1.4705000E+01, 9.6205439E+00, 5.1646417E+00, 1.5927712E+01, 1.0482000E+01, 1.9856661E-02, 3.0547101E-03, 1.1461814E-01, 1.5900000E+01, 1.5171104E+01, 7.7360356E+00, 2.3766913E+01, 9.9909000E+00, 5.8075002E-03, 2.5534916E-04, 5.8361611E-02, 1.6026000E+01, 2.1319677E+01, 1.1421273E+01, 4.8392472E+01,             0,             0,      8.333333,             0,      3.333333,      18.33333,             0,             0,
"",          0.15,           0.3,            71,      9.658272,      2.282612,      1.501627,      3.394431, 9.7901000E+00,     0.8871398, 4.6694329E-01, 1.5306244E+00, 8.8210000E+00, 2.9838155E-01, 1.4142451E-01, 5.8568669E-01, 1.0549000E+01, 2.1295628E+00, 1.3499309E+00, 3.2022325E+00, 7.8342000E+00, 3.2928507E-02, 8.3849489E-03, 1.1375837E-01, 1.1324000E+01, 5.9689920E+00, 3.5142142E+00, 9.8686670E+00, 7.6298000E+00, 7.7437747E-03, 1.6492305E-03, 6.2119533E-02, 1.1858000E+01, 9.1926108E+00, 5.3810489E+00, 1.6983386E+01, 6.9725000E+00, 1.8505337E-03, 4.4868094E-04, 2.8956095E-02, 1.1922000E+01, 1.2832327E+01, 6.2496435E+00, 2.0198541E+01,             0,             0,             0,      1.408451,      16.90141,      9.859155,             0,      5.633803,
