VPC run info
"","          Date","  observations","   simulations","     Modelfile","Simulation model","Independent variable","Dependent variable","   PsN version","NONMEM version",
"",    2015-10-26,          2000,           300,      base.mod,auto-generated,          TIME,          CONC,        v4.2.0,       default,

VPC results strata STRT = 0
Continuous data
1000 observations out of 2000
"","        < TIME","            <=","    no. of obs","     mean real","      mean sim","95%CI for mean from","95%CI for mean to","      50% real","       50% sim","95%CI for 50% from","95%CI for 50% to","      30% real","       30% sim","95%CI for 30% from","95%CI for 30% to","      70% real","       70% sim","95%CI for 70% from","95%CI for 70% to","      10% real","       10% sim","95%CI for 10% from","95%CI for 10% to","      90% real","       90% sim","95%CI for 90% from","95%CI for 90% to","       5% real","        5% sim","95%CI for 5% from","95%CI for 5% to","      95% real","       95% sim","95%CI for 95% from","95%CI for 95% to","     2.5% real","      2.5% sim","95%CI for 2.5% from","95%CI for 2.5% to","    97.5% real","     97.5% sim","95%CI for 97.5% from","95%CI for 97.5% to","PI 40% False pos (%)","PI 40% False neg (%)","PI 80% False pos (%)","PI 80% False neg (%)","PI 90% False pos (%)","PI 90% False neg (%)","PI 95% False pos (%)","PI 95% False neg (%)",
"first interval is closed",          0.05,          0.15,            67,      14.21917,      3.629156,      2.241193,      5.612848, 1.3601000E+01,      1.280336, 6.6916604E-01, 2.1043610E+00, 1.2512000E+01, 4.1663084E-01, 2.0722538E-01, 8.4947617E-01, 1.4786000E+01, 3.1182905E+00, 1.9332068E+00, 4.9490996E+00, 1.0882000E+01, 6.0429935E-02, 2.4791147E-02, 2.1685550E-01, 1.9011000E+01, 9.4077843E+00, 5.3349267E+00, 1.4516073E+01, 1.0102000E+01, 1.8172510E-02, 2.3667425E-03, 9.0434924E-02, 2.1293000E+01, 1.4930204E+01, 8.0615123E+00, 2.9435977E+01, 9.9909000E+00, 4.9198131E-03, 1.3999619E-03, 7.3972416E-02, 2.1609000E+01, 2.1726287E+01, 9.2979096E+00, 3.5087171E+01,             0,             0,      2.985075,      2.985075,      2.985075,      14.92537,      2.985075,      5.970149,
"",          0.15,           0.3,            67,      10.96031,      2.309762,      1.460916,      3.457621, 1.0914000E+01,     0.8910206, 5.3356823E-01, 1.4832147E+00, 9.9942000E+00, 3.0802686E-01, 1.3823644E-01, 5.9299854E-01, 1.1846000E+01, 2.0914947E+00, 1.3142613E+00, 3.4741682E+00, 8.8146000E+00, 3.4413471E-02, 9.1257495E-03, 1.4268245E-01, 1.3999000E+01, 6.0764833E+00, 3.3685767E+00, 9.9272894E+00, 7.6298000E+00, 8.1511154E-03, 1.2453483E-03, 5.2612345E-02, 1.5346000E+01, 9.4413701E+00, 4.8408938E+00, 1.5746790E+01, 5.3326000E+00, 2.2151351E-03, 4.3893995E-04, 3.8951892E-02, 1.5662000E+01, 1.3395643E+01, 5.4187138E+00, 2.0109138E+01,             0,             0,             0,             0,      10.44776,      4.477612,      5.970149,      8.955224,
"",           0.3,          0.55,           133,      7.792896,      1.346668,      1.010135,      1.745831, 7.4060000E+00,     0.5527436, 3.6552159E-01, 8.2339327E-01, 6.2767000E+00, 1.7968278E-01, 1.0102002E-01, 3.0068274E-01, 9.6014000E+00, 1.3031770E+00, 8.9280526E-01, 1.7263546E+00, 4.7833000E+00, 1.5276667E-02, 5.2938491E-03, 4.5785537E-02, 1.1238000E+01, 3.5391485E+00, 2.4911355E+00, 4.7042938E+00, 3.1381000E+00, 3.4513982E-03, 1.0954528E-03, 1.6160579E-02, 1.1784000E+01, 5.3752608E+00, 3.4026704E+00, 7.3651292E+00, 2.1268000E+00, 1.0625211E-03, 2.4836839E-04, 6.0490062E-03, 1.2381000E+01, 7.4662672E+00, 4.8211633E+00, 1.1860186E+01,             0,             0,      1.503759,             0,      3.007519,      4.511278,     0.7518797,      5.263158,
"",          0.55,          0.85,            67,      5.694079,     0.8417495,     0.5575328,      1.204337, 5.7779000E+00,     0.3415829, 1.9990472E-01, 5.7849795E-01, 3.5254000E+00, 1.0436259E-01, 4.8502667E-02, 2.2198894E-01, 7.9930000E+00, 8.2588667E-01, 4.7838067E-01, 1.2802107E+00, 1.8875000E+00, 7.2251795E-03, 2.4252786E-03, 4.6846528E-02, 9.3172000E+00, 2.2080065E+00, 1.2673198E+00, 3.2295943E+00, 1.0465000E+00, 1.8298427E-03, 3.5958764E-04, 1.1238237E-02, 1.0114000E+01, 3.3527170E+00, 1.8907645E+00, 5.4025718E+00, 6.4777000E-01, 6.5906778E-04, 2.2181341E-04, 6.5626569E-03, 1.0164000E+01, 4.6031106E+00, 2.2498169E+00, 6.8906241E+00,             0,             0,      2.985075,             0,             0,      5.970149,      1.492537,      2.985075,
"",          0.85,           1.5,            67,       3.24551,     0.6306519,     0.4147076,     0.9498663, 2.1959000E+00,     0.2510098, 1.3095396E-01, 4.3755425E-01, 1.7377000E+00, 7.5213571E-02, 2.9564732E-02, 1.6121180E-01, 4.9653000E+00, 6.0948148E-01, 3.5089793E-01, 9.4515085E-01, 3.3052000E-01, 5.1392491E-03, 1.7109572E-03, 2.2589996E-02, 7.4952000E+00, 1.6898174E+00, 9.7768577E-01, 2.4065331E+00, 1.8601000E-01, 1.3563773E-03, 3.0216540E-04, 7.7540312E-03, 8.0747000E+00, 2.5386398E+00, 1.4189397E+00, 4.5988315E+00, 4.6469000E-02, 5.3051017E-04, 1.6863055E-04, 5.6751778E-03, 8.2069000E+00, 3.6172202E+00, 1.6835912E+00, 5.1435394E+00,             0,             0,             0,             0,             0,      7.462687,      1.492537,      1.492537,
"",           1.5,             3,            66,      1.443281,     0.3459317,     0.2233545,     0.5194838,       0.42243,     0.1286867,    0.06660815,     0.2300533, 2.4752000E-01, 3.2197653E-02, 1.2025259E-02, 8.2755371E-02, 8.9861000E-01, 3.2928649E-01, 1.9779374E-01, 5.4303331E-01, 1.0153000E-01, 2.5139494E-03, 8.4237290E-04, 1.0502294E-02, 4.9302000E+00, 9.4119851E-01, 5.6577575E-01, 1.5671202E+00, 7.2923000E-02, 8.0858139E-04, 1.6866365E-04, 3.8102032E-03, 5.2748000E+00, 1.4267879E+00, 7.9251791E-01, 2.3056068E+00, 5.0827000E-02, 3.3657777E-04, 1.0566744E-04, 2.7245968E-03, 5.3156000E+00, 1.9803609E+00, 8.8548943E-01, 2.7842818E+00,             0,      4.545455,             0,      1.515152,             0,             0,             0,             0,
"",             3,           5.5,           134,     0.7594323,     0.1862379,     0.1380428,     0.2408895,       0.17043,    0.06007888,    0.03545398,    0.09469003, 1.2204000E-01, 1.3416697E-02, 6.9608095E-03, 2.8315054E-02, 8.2529000E-01, 1.6706501E-01, 1.1309563E-01, 2.3226502E-01, 6.9539000E-02, 1.2648762E-03, 5.9992182E-04, 2.9637535E-03, 2.3416000E+00, 5.0486930E-01, 3.4030588E-01, 7.0899503E-01, 4.7943000E-02, 4.5678291E-04, 1.9058653E-04, 1.3123940E-03, 2.6294000E+00, 7.9802104E-01, 5.1007143E-01, 1.1009678E+00, 2.2911000E-02, 2.0168542E-04, 6.3615192E-05, 5.7174991E-04, 3.0675000E+00, 1.1449710E+00, 7.0793378E-01, 1.7460636E+00,     0.7462687,      5.223881,             0,     0.7462687,             0,             0,      1.492537,      1.492537,
"",           5.5,           8.5,            67,     0.3774776,     0.1108818,     0.0721641,     0.1753731, 8.7740000E-02,    0.02914602, 1.0953430E-02, 5.6746985E-02, 6.4193000E-02, 5.9535214E-03, 2.3258080E-03, 1.6588283E-02, 3.5060000E-01, 9.3995973E-02, 4.6808914E-02, 1.4777184E-01, 3.9476000E-02, 6.2561304E-04, 2.6562005E-04, 2.5402433E-03, 1.2422000E+00, 3.0200260E-01, 1.5709324E-01, 4.7313859E-01, 2.4549000E-02, 2.4271536E-04, 6.1317993E-05, 9.1585730E-04, 1.5284000E+00, 4.8979806E-01, 2.6907423E-01, 9.2270460E-01, 1.4068000E-02, 1.1058602E-04, 3.9014487E-05, 7.2258568E-04, 1.8228000E+00, 7.2003300E-01, 3.2216437E-01, 1.0832338E+00,             0,      2.985075,             0,      1.492537,             0,      1.492537,             0,      2.985075,
"",           8.5,            15,            66,     0.2675291,    0.07923971,    0.04711539,     0.1280723,     0.0466015,    0.01619212,    0.00736371,    0.03681095, 3.4805000E-02, 3.2498546E-03, 1.3516399E-03, 9.5355246E-03, 1.1174000E-01, 6.1498563E-02, 2.9506453E-02, 1.1273221E-01, 1.8416000E-02, 3.5625356E-04, 1.4646874E-04, 1.4235217E-03, 1.0423000E+00, 2.1654780E-01, 1.2919805E-01, 3.8097479E-01, 1.4411000E-02, 1.3161084E-04, 4.6307467E-05, 5.3090565E-04, 1.1729000E+00, 3.5349360E-01, 1.8989307E-01, 7.2128820E-01, 1.2455000E-02, 6.0479682E-05, 2.0950289E-05, 3.8832141E-04, 1.1890000E+00, 5.3781202E-01, 2.0604083E-01, 7.6261151E-01,      1.515152,      1.515152,             0,             0,             0,             0,             0,      3.030303,
"",            15,            30,            67,     0.1233661,    0.03688531,    0.01836415,    0.06830296, 2.5044000E-02,   0.003093636, 9.3037991E-04, 9.7589077E-03, 9.1996000E-03, 5.0253274E-04, 1.8311245E-04, 1.4867171E-03, 1.4026000E-01, 1.9649801E-02, 6.0640545E-03, 4.3197794E-02, 5.4632000E-03, 5.2021469E-05, 2.0756695E-05, 1.8232772E-04, 3.3208000E-01, 1.0211536E-01, 4.3879536E-02, 1.8659266E-01, 3.2566000E-03, 1.9474367E-05, 4.7374677E-06, 7.4469240E-05, 5.2516000E-01, 1.8124369E-01, 8.1915419E-02, 3.9740858E-01, 3.0515000E-03, 8.8823846E-06, 2.5920438E-06, 5.7977816E-05, 5.7239000E-01, 2.7630699E-01, 9.6887991E-02, 5.4898606E-01,             0,      1.492537,             0,      2.985075,      1.492537,             0,      2.985075,             0,
"",            30,            55,           133,    0.01649393,    0.01366841,   0.006626271,     0.0223601, 3.7180000E-04,   0.000128975, 4.8150787E-05, 3.0781520E-04, 1.8768000E-04, 1.5167404E-05, 6.9382920E-06, 3.5142482E-05, 2.4099000E-03, 2.1419939E-03, 5.4205882E-04, 6.2867056E-03, 6.6400000E-05, 9.9619791E-07, 3.8676442E-07, 3.0479670E-06, 6.1503000E-02, 3.6990464E-02, 1.8923501E-02, 6.8722287E-02, 4.3100000E-05, 2.9793057E-07, 1.1538628E-07, 1.1875836E-06, 9.6902000E-02, 7.3967801E-02, 3.0917159E-02, 1.2893653E-01, 2.8100000E-05, 1.0498939E-07, 2.2605415E-08, 4.8746374E-07, 1.3367000E-01, 1.2118182E-01, 5.5679263E-02, 2.3740861E-01,     0.7518797,     0.7518797,             0,      3.007519,      3.007519,     0.7518797,             0,     0.7518797,
"",            55,            85,            66,   0.001559485,   0.005969654,   0.001741241,    0.01364926,    2.405e-006,1.65376605e-006,2.6552305e-007,9.1198983e-006, 9.3200000E-07, 9.2969715E-08, 2.0766484E-08, 6.6933914E-07, 3.7300000E-05, 6.5000503E-05, 8.3433979E-06, 1.4889512E-03, 3.3900000E-07, 2.0343027E-09, 4.3377250E-10, 2.2694338E-08, 3.5821000E-03, 1.3752511E-02, 2.1402313E-03, 3.8502064E-02, 2.2000000E-07, 3.2127062E-10, 2.0096034E-11, 4.0489481E-09, 1.0736000E-02, 3.3703394E-02, 8.8754037E-03, 8.1710367E-02, 1.9300000E-07, 5.6925575E-11, 3.1850778E-12, 2.5859240E-09, 1.6529000E-02, 6.0470852E-02, 1.1719973E-02, 1.1928675E-01,      1.515152,             0,             0,             0,             0,             0,             0,             0,

Diagnostics VPC strata STRT = 0
""," False pos (%)"," False neg (%)",
"       PI 40% ",           0.4,           1.5,
"       PI 80% ",           0.6,           1.1,
"       PI 90% ",           1.8,             3,
"       PI 95% ",           1.3,           2.7,

NPC results strata STRT = 0
bin 2: 67 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      38.80597,      61.19403,            67,           100,             *,      38.80597,      61.19403,
"        40% PI",             0,             0,             *,      19.40299,      38.80597,            67,           100,             *,      20.89552,      40.29851,
"        80% PI",             0,             0,             *,      2.985075,      17.91045,            65,      97.01493,             *,      2.985075,      16.41791,
"        90% PI",             0,             0,              ,             0,      10.44776,            27,      40.29851,             *,             0,      10.44776,
"        95% PI",             0,             0,              ,             0,      5.970149,             4,      5.970149,              ,             0,      5.970149,

NPC results strata STRT = 0
bin 3: 67 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      38.80597,      61.19403,            67,           100,             *,      38.80597,      61.19403,
"        40% PI",             0,             0,             *,      17.91045,      40.29851,            67,           100,             *,      19.40299,      41.79104,
"        80% PI",             0,             0,             *,      2.985075,      17.91045,            64,      95.52239,             *,      2.985075,      17.91045,
"        90% PI",             0,             0,              ,             0,      10.44776,            50,      74.62687,             *,             0,       11.9403,
"        95% PI",             0,             0,              ,             0,      5.970149,            12,      17.91045,             *,             0,      5.970149,

NPC results strata STRT = 0
bin 4: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      41.35338,      57.89474,           133,           100,             *,      42.10526,      58.64662,
"        40% PI",             0,             0,             *,      22.55639,      37.59398,           133,           100,             *,      21.80451,      38.34586,
"        80% PI",             0,             0,             *,      5.263158,      16.54135,           121,      90.97744,             *,      6.015038,      15.03759,
"        90% PI",             0,             0,             *,      2.255639,      9.022556,           112,      84.21053,             *,      1.503759,      8.270677,
"        95% PI",             0,             0,              ,             0,      5.263158,            69,       51.8797,             *,             0,      5.263158,

NPC results strata STRT = 0
bin 5: 67 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             2,      2.985075,             *,      38.80597,      61.19403,            65,      97.01493,             *,      38.80597,      61.19403,
"        40% PI",             0,             0,             *,      19.40299,      40.29851,            64,      95.52239,             *,      19.40299,      41.79104,
"        80% PI",             0,             0,             *,      4.477612,      17.91045,            57,      85.07463,             *,      2.985075,      17.91045,
"        90% PI",             0,             0,              ,             0,      10.44776,            51,       76.1194,             *,             0,      10.44776,
"        95% PI",             0,             0,              ,             0,      7.462687,            40,      59.70149,             *,             0,      7.462687,

NPC results strata STRT = 0
bin 6: 67 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             7,      10.44776,             *,      37.31343,      62.68657,            60,      89.55224,             *,      37.31343,      62.68657,
"        40% PI",             3,      4.477612,             *,      17.91045,      41.79104,            58,      86.56716,             *,      19.40299,      41.79104,
"        80% PI",             0,             0,             *,      4.477612,      16.41791,            47,      70.14925,             *,      2.985075,      19.40299,
"        90% PI",             0,             0,             *,      1.492537,      10.44776,            30,      44.77612,             *,             0,       11.9403,
"        95% PI",             0,             0,              ,             0,      5.970149,            24,       35.8209,             *,             0,      7.462687,

NPC results strata STRT = 0
bin 7: 66 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            10,      15.15152,             *,      39.39394,      60.60606,            56,      84.84848,             *,      39.39394,      60.60606,
"        40% PI",             1,      1.515152,             *,      19.69697,      40.90909,            38,      57.57576,             *,      19.69697,      42.42424,
"        80% PI",             0,             0,             *,      3.030303,      18.18182,            20,      30.30303,             *,      3.030303,      18.18182,
"        90% PI",             0,             0,              ,             0,      10.60606,            19,      28.78788,             *,      1.515152,      10.60606,
"        95% PI",             0,             0,              ,             0,      6.060606,            18,      27.27273,             *,             0,      7.575758,

NPC results strata STRT = 0
bin 8: 134 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            11,      8.208955,             *,      41.04478,      57.46269,           123,      91.79104,             *,      42.53731,      58.95522,
"        40% PI",             0,             0,             *,      23.13433,      37.31343,            74,      55.22388,             *,      22.38806,      36.56716,
"        80% PI",             0,             0,             *,      5.223881,      14.92537,            53,      39.55224,             *,      5.223881,      14.92537,
"        90% PI",             0,             0,             *,      2.238806,      8.955224,            41,      30.59701,             *,      2.238806,      8.955224,
"        95% PI",             0,             0,              ,             0,      5.223881,            36,      26.86567,             *,             0,      5.223881,

NPC results strata STRT = 0
bin 9: 67 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             4,      5.970149,             *,      38.80597,      61.19403,            63,      94.02985,             *,      38.80597,      61.19403,
"        40% PI",             0,             0,             *,      17.91045,      40.29851,            32,      47.76119,             *,      19.40299,      40.29851,
"        80% PI",             0,             0,             *,      2.985075,      17.91045,            24,       35.8209,             *,      4.477612,      16.41791,
"        90% PI",             0,             0,              ,             0,      10.44776,            16,       23.8806,             *,      1.492537,       11.9403,
"        95% PI",             0,             0,              ,             0,      5.970149,            15,      22.38806,             *,             0,      5.970149,

NPC results strata STRT = 0
bin 10: 66 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             7,      10.60606,             *,      37.87879,      60.60606,            59,      89.39394,             *,      39.39394,      62.12121,
"        40% PI",             0,             0,             *,      18.18182,      39.39394,            27,      40.90909,              ,      19.69697,      40.90909,
"        80% PI",             0,             0,             *,      3.030303,      18.18182,            18,      27.27273,             *,      3.030303,      18.18182,
"        90% PI",             0,             0,              ,             0,      10.60606,            18,      27.27273,             *,             0,      10.60606,
"        95% PI",             0,             0,              ,             0,      6.060606,            16,      24.24242,             *,             0,      7.575758,

NPC results strata STRT = 0
bin 11: 67 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             3,      4.477612,             *,      38.80597,       64.1791,            64,      95.52239,             *,       35.8209,      61.19403,
"        40% PI",             0,             0,             *,      17.91045,      40.29851,            36,      53.73134,             *,      20.89552,      41.79104,
"        80% PI",             0,             0,             *,      2.985075,      16.41791,            24,       35.8209,             *,      2.985075,      19.40299,
"        90% PI",             0,             0,              ,             0,      10.44776,            16,       23.8806,             *,             0,       11.9403,
"        95% PI",             0,             0,              ,             0,      5.970149,            10,      14.92537,             *,             0,      7.462687,

NPC results strata STRT = 0
bin 12: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            33,      24.81203,             *,      42.10526,      57.89474,           100,      75.18797,             *,      42.10526,      57.89474,
"        40% PI",             0,             0,             *,      23.30827,      38.34586,            41,      30.82707,              ,      22.55639,      37.59398,
"        80% PI",             0,             0,             *,      5.263158,      15.78947,            22,      16.54135,             *,      5.263158,      15.03759,
"        90% PI",             0,             0,             *,      1.503759,      9.022556,             9,      6.766917,              ,      1.503759,      9.022556,
"        95% PI",             0,             0,              ,             0,      5.263158,             6,      4.511278,              ,             0,      5.263158,

NPC results strata STRT = 0
bin 13: 66 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            28,      42.42424,              ,      37.87879,      62.12121,            38,      57.57576,              ,      37.87879,      62.12121,
"        40% PI",             2,      3.030303,             *,      19.69697,      42.42424,            18,      27.27273,              ,      21.21212,      39.39394,
"        80% PI",             0,             0,             *,      3.030303,      16.66667,             3,      4.545455,              ,      3.030303,      16.66667,
"        90% PI",             0,             0,             *,      1.515152,      10.60606,             0,             0,              ,             0,      10.60606,
"        95% PI",             0,             0,              ,             0,      6.060606,             0,             0,              ,             0,      7.575758,

VPC results strata STRT = 1
Continuous data
1000 observations out of 2000
"","        < TIME","            <=","    no. of obs","     mean real","      mean sim","95%CI for mean from","95%CI for mean to","      50% real","       50% sim","95%CI for 50% from","95%CI for 50% to","      30% real","       30% sim","95%CI for 30% from","95%CI for 30% to","      70% real","       70% sim","95%CI for 70% from","95%CI for 70% to","      10% real","       10% sim","95%CI for 10% from","95%CI for 10% to","      90% real","       90% sim","95%CI for 90% from","95%CI for 90% to","       5% real","        5% sim","95%CI for 5% from","95%CI for 5% to","      95% real","       95% sim","95%CI for 95% from","95%CI for 95% to","     2.5% real","      2.5% sim","95%CI for 2.5% from","95%CI for 2.5% to","    97.5% real","     97.5% sim","95%CI for 97.5% from","95%CI for 97.5% to","PI 40% False pos (%)","PI 40% False neg (%)","PI 80% False pos (%)","PI 80% False neg (%)","PI 90% False pos (%)","PI 90% False neg (%)","PI 95% False pos (%)","PI 95% False neg (%)",
"first interval is closed",          0.05,          0.15,            67,      13.72472,      3.601539,      2.325587,      5.571596, 1.3654000E+01,      1.287382, 6.7914280E-01, 2.1648504E+00, 1.2660000E+01, 4.3163728E-01, 2.1291540E-01, 8.8544119E-01, 1.4499000E+01, 3.2522142E+00, 1.8020392E+00, 5.3620109E+00, 1.1213000E+01, 6.0566711E-02, 1.8954762E-02, 2.2821045E-01, 1.6265000E+01, 9.4848994E+00, 4.9885755E+00, 1.4186447E+01, 1.0183000E+01, 1.8789407E-02, 2.4027669E-03, 8.7049481E-02, 1.8216000E+01, 1.4689765E+01, 7.9011260E+00, 2.5628126E+01, 1.0143000E+01, 5.2262618E-03, 1.2952716E-03, 6.9954656E-02, 1.8929000E+01, 2.1290443E+01, 9.3072457E+00, 3.0356191E+01,             0,             0,      1.492537,             0,      7.462687,      16.41791,             0,      1.492537,
"",          0.15,           0.3,            66,      10.94184,       2.27059,      1.503606,       3.32452,        10.563,     0.9140205,     0.5256578,      1.527101, 9.4973000E+00, 3.2329763E-01, 1.4698391E-01, 7.2568392E-01, 1.1567000E+01, 2.1457065E+00, 1.3264621E+00, 3.3980012E+00, 8.2678000E+00, 3.9463788E-02, 8.5159014E-03, 1.5468439E-01, 1.4842000E+01, 5.8969341E+00, 3.6590022E+00, 9.8907924E+00, 7.8342000E+00, 9.4607527E-03, 9.4286867E-04, 5.1565610E-02, 1.5279000E+01, 9.0593089E+00, 5.1667064E+00, 1.5546068E+01, 7.6319000E+00, 2.0882821E-03, 4.3304227E-04, 3.7497675E-02, 1.5997000E+01, 1.2866542E+01, 6.1367043E+00, 1.7964162E+01,             0,             0,      1.515152,             0,      7.575758,      12.12121,      1.515152,      7.575758,
