VPC run info
"","          Date","  observations","   simulations","     Modelfile","Simulation model","Independent variable","Dependent variable","   PsN version","NONMEM version",
"",    2015-10-26,          2000,           300,     final.mod,auto-generated,          TIME,          CONC,        v4.2.0,       default,

VPC results  
Continuous data
2000 observations out of 2000
"","        < TIME","            <=","    no. of obs","     mean real","      mean sim","95%CI for mean from","95%CI for mean to","      50% real","       50% sim","95%CI for 50% from","95%CI for 50% to","      30% real","       30% sim","95%CI for 30% from","95%CI for 30% to","      70% real","       70% sim","95%CI for 70% from","95%CI for 70% to","      10% real","       10% sim","95%CI for 10% from","95%CI for 10% to","      90% real","       90% sim","95%CI for 90% from","95%CI for 90% to","       5% real","        5% sim","95%CI for 5% from","95%CI for 5% to","      95% real","       95% sim","95%CI for 95% from","95%CI for 95% to","     2.5% real","      2.5% sim","95%CI for 2.5% from","95%CI for 2.5% to","    97.5% real","     97.5% sim","95%CI for 97.5% from","95%CI for 97.5% to","PI 40% False pos (%)","PI 40% False neg (%)","PI 80% False pos (%)","PI 80% False neg (%)","PI 90% False pos (%)","PI 90% False neg (%)","PI 95% False pos (%)","PI 95% False neg (%)",
"first interval is closed",          0.05,          0.15,           134,      13.97194,      13.65025,      13.33518,      13.94572,       13.6275,       13.1913,      12.78689,      13.60169, 1.2550000E+01, 1.2047597E+01, 1.1666623E+01, 1.2497834E+01, 1.4691000E+01, 1.4553979E+01, 1.4069926E+01, 1.5053249E+01, 1.0810000E+01, 1.0610794E+01, 1.0110583E+01, 1.1094983E+01, 1.8260000E+01, 1.7421590E+01, 1.6486443E+01, 1.8416569E+01, 1.0143000E+01, 9.9650064E+00, 9.4438186E+00, 1.0605339E+01, 1.9604000E+01, 1.9215328E+01, 1.7567648E+01, 2.0292671E+01, 9.9909000E+00, 9.3647781E+00, 8.5831987E+00, 1.0092828E+01, 2.1609000E+01, 2.0734554E+01, 1.9079079E+01, 2.2416090E+01,      19.40299,      20.14925,      11.19403,       14.1791,      3.731343,      5.970149,      2.238806,      2.238806,
"",          0.15,           0.3,           133,      10.95114,      10.94773,      10.67205,      11.19388, 1.0755000E+01,      10.79126, 1.0443047E+01, 1.1147841E+01, 9.7172000E+00, 9.7018684E+00, 9.3970913E+00, 1.0098295E+01, 1.1712000E+01, 1.2194779E+01, 1.1719935E+01, 1.2653495E+01, 8.3567000E+00, 8.1179953E+00, 7.5750603E+00, 8.6242122E+00, 1.4472000E+01, 1.4583203E+01, 1.3838610E+01, 1.5247163E+01, 7.7971000E+00, 6.5372765E+00, 5.5307871E+00, 7.9985088E+00, 1.5279000E+01, 1.5685250E+01, 1.4703061E+01, 1.6387746E+01, 6.9725000E+00, 3.5795454E+00, 2.0669133E+00, 5.7794726E+00, 1.5997000E+01, 1.6604232E+01, 1.5424650E+01, 1.7891244E+01,      17.29323,      28.57143,      9.022556,      16.54135,      3.007519,      6.766917,             0,      4.511278,
"",           0.3,          0.55,           267,      7.875085,      8.034833,      7.896588,      8.187681, 7.4512000E+00,       8.08593, 7.8239826E+00, 8.3706529E+00, 6.1175000E+00, 6.4834312E+00, 6.2553749E+00, 6.7743610E+00, 9.9602000E+00, 1.0101199E+01, 9.8079859E+00, 1.0345970E+01, 4.8545000E+00, 4.0806188E+00, 3.5416657E+00, 4.6772344E+00, 1.1238000E+01, 1.1755285E+01, 1.1358562E+01, 1.2057849E+01, 3.3961000E+00, 2.1965614E+00, 1.6192464E+00, 2.9671138E+00, 1.1934000E+01, 1.2444843E+01, 1.2002845E+01, 1.2867499E+01, 2.3186000E+00, 7.3231362E-01, 4.6587222E-01, 1.6522658E+00, 1.2338000E+01, 1.3002028E+01, 1.2356085E+01, 1.3431687E+01,      23.22097,      23.22097,      5.243446,      12.73408,      1.123596,      10.86142,     0.7490637,      7.865169,
"",          0.55,          0.85,           134,      5.726651,      5.837392,      5.666483,      6.001768,        5.4994,      6.200501,      5.691993,      6.805844, 3.3109000E+00, 3.8237629E+00, 3.4730665E+00, 4.2361066E+00, 8.4125000E+00, 8.1120290E+00, 7.7295374E+00, 8.3820809E+00, 1.8875000E+00, 1.8097955E+00, 1.3867718E+00, 2.3091357E+00, 9.6640000E+00, 9.3118396E+00, 8.9522550E+00, 9.6903455E+00, 1.1955000E+00, 9.0475856E-01, 5.8005638E-01, 1.6045852E+00, 9.9949000E+00, 9.8114469E+00, 9.2876962E+00, 1.0164441E+01, 6.4777000E-01, 3.2791745E-01, 9.2779435E-02, 8.1527463E-01, 1.0351000E+01, 1.0213644E+01, 9.6694497E+00, 1.0772196E+01,      30.59701,      20.14925,      9.701493,      5.970149,      3.731343,      5.970149,      3.731343,      5.223881,
"",          0.85,           1.5,           133,      3.657506,      3.919857,      3.767219,      4.058167, 2.3228000E+00,      3.424136, 3.0275383E+00, 3.8184364E+00, 1.7518000E+00, 1.8920653E+00, 1.6225686E+00, 2.2496712E+00, 5.4459000E+00, 6.1679388E+00, 5.7828542E+00, 6.4433103E+00, 7.1165000E-01, 4.1365366E-01, 2.3969009E-01, 6.5514623E-01, 7.7045000E+00, 7.5291829E+00, 7.1521859E+00, 7.8127300E+00, 2.0258000E-01, 8.9484565E-02, 5.9461447E-02, 2.3225321E-01, 8.2806000E+00, 7.9907680E+00, 7.5284147E+00, 8.3332318E+00, 6.4042000E-02, 2.9483373E-02, 1.8976636E-02, 5.6822911E-02, 8.9183000E+00, 8.3879832E+00, 7.8352486E+00, 8.9025622E+00,      21.05263,      34.58647,      12.03008,       11.2782,      5.263158,      9.774436,      2.255639,      5.263158,
"",           1.5,             3,           133,      1.638344,      1.612135,      1.526724,      1.701538, 4.6676000E-01,     0.7381237, 5.8821090E-01, 8.9527915E-01, 2.5086000E-01, 2.7677447E-01, 2.2427702E-01, 3.5795046E-01, 2.6855000E+00, 2.5747450E+00, 2.0810400E+00, 2.9017033E+00, 1.0153000E-01, 6.5306791E-02, 4.9704122E-02, 9.0722513E-02, 4.8027000E+00, 4.3425091E+00, 4.0534559E+00, 4.6476392E+00, 7.3025000E-02, 3.4719225E-02, 2.8478487E-02, 5.3150538E-02, 5.0729000E+00, 4.7909341E+00, 4.3848871E+00, 5.1071274E+00, 5.0827000E-02, 2.2080431E-02, 1.5457554E-02, 3.0630145E-02, 5.4070000E+00, 5.1438580E+00, 4.6596819E+00, 5.6057350E+00,      27.81955,      19.54887,      12.78195,      9.774436,      7.518797,      10.52632,      5.263158,      4.511278,
"",             3,           5.5,           267,     0.8453574,     0.7948333,      0.758244,     0.8328867, 1.8154000E-01,     0.3447013, 2.9896126E-01, 4.0578326E-01, 1.2186000E-01, 1.4013984E-01, 1.2678359E-01, 1.5739851E-01, 1.2445000E+00, 1.1813134E+00, 1.0486887E+00, 1.2935195E+00, 6.9643000E-02, 5.9599521E-02, 5.1916290E-02, 6.9594634E-02, 2.4345000E+00, 2.1217214E+00, 1.9570076E+00, 2.3113068E+00, 5.4592000E-02, 3.6230534E-02, 2.9823561E-02, 4.5398816E-02, 2.8567000E+00, 2.4718233E+00, 2.2605365E+00, 2.6890652E+00, 4.7111000E-02, 2.0669530E-02, 1.5905040E-02, 3.0121381E-02, 3.0378000E+00, 2.7397538E+00, 2.4718155E+00, 2.9816666E+00,      26.21723,      19.47566,      14.23221,      10.11236,      7.490637,      5.243446,      5.243446,      4.494382,
"",           5.5,           8.5,           133,     0.4459947,      0.423595,     0.3923553,     0.4558576, 1.0430000E-01,     0.1577309, 1.3075709E-01, 1.9053024E-01, 7.0459000E-02, 7.5776137E-02, 6.7537291E-02, 9.0313962E-02, 5.2775000E-01, 5.8878838E-01, 4.9301129E-01, 6.6978577E-01, 4.6066000E-02, 3.0577142E-02, 2.4294272E-02, 3.9417178E-02, 1.3984000E+00, 1.1787784E+00, 1.0200825E+00, 1.3376354E+00, 3.0912000E-02, 1.6800174E-02, 1.3797201E-02, 2.5994491E-02, 1.5791000E+00, 1.4070379E+00, 1.1972587E+00, 1.5604823E+00, 2.0541000E-02, 8.9810877E-03, 5.8755700E-03, 1.4379966E-02, 1.8228000E+00, 1.6062808E+00, 1.3454853E+00, 1.8633035E+00,      27.06767,      26.31579,      12.78195,      8.270677,      8.270677,      5.263158,      4.511278,      6.015038,
"",           8.5,            15,           133,     0.2938345,     0.2657128,     0.2432247,      0.290564, 5.5462000E-02,    0.07429166, 6.3483671E-02, 8.7827708E-02, 3.5586000E-02, 3.9057701E-02, 3.4301052E-02, 4.5281852E-02, 3.6589000E-01, 3.4682234E-01, 2.7258593E-01, 4.0685816E-01, 2.0303000E-02, 1.4383210E-02, 1.1015926E-02, 1.8698410E-02, 9.2996000E-01, 7.9981147E-01, 6.8342189E-01, 9.1786763E-01, 1.6813000E-02, 7.7511510E-03, 6.2744565E-03, 1.2038009E-02, 1.0781000E+00, 9.8522382E-01, 8.1496503E-01, 1.1227955E+00, 1.2455000E-02, 4.8414018E-03, 3.3286633E-03, 7.1073827E-03, 1.1890000E+00, 1.1534588E+00, 9.4947303E-01, 1.3367888E+00,      30.07519,      19.54887,      14.28571,      9.774436,      8.270677,      8.270677,      3.759398,      6.015038,
"",            15,            30,           134,     0.1350214,     0.1120552,     0.1006292,     0.1259025,     0.0212605,    0.03656546,    0.02800475,    0.04891421, 8.6538000E-03, 1.0254559E-02, 8.4617078E-03, 1.2672699E-02, 1.8358000E-01, 1.4435588E-01, 1.2045558E-01, 1.7278159E-01, 4.6175000E-03, 3.7446640E-03, 2.8374653E-03, 4.8211357E-03, 4.3888000E-01, 3.2120344E-01, 2.6895377E-01, 3.8024504E-01, 3.5521000E-03, 2.2477859E-03, 1.6902688E-03, 3.3481002E-03, 5.1708000E-01, 4.1575621E-01, 3.2852411E-01, 4.8625636E-01, 2.7620000E-03, 1.3490788E-03, 7.9840393E-04, 2.3015932E-03, 5.9077000E-01, 5.0061242E-01, 3.9336830E-01, 6.1947540E-01,      29.10448,      12.68657,      13.43284,      8.955224,      10.44776,      6.716418,      6.716418,      2.985075,
"",            30,            55,           266,    0.01785486,    0.01342026,    0.01134779,    0.01555899,   0.000439435,  0.0008271218,  0.0006681516,    0.00104735, 1.9570000E-04, 2.5361817E-04, 2.1018104E-04, 3.1573722E-04, 1.0172000E-02, 8.8731390E-03, 6.7616643E-03, 1.1696942E-02, 8.1000000E-05, 5.6974289E-05, 4.3232529E-05, 7.8119685E-05, 6.4058000E-02, 4.3660504E-02, 3.5065057E-02, 5.3707445E-02, 4.5500000E-05, 2.6151498E-05, 1.7184095E-05, 4.1372401E-05, 9.2931000E-02, 6.7998050E-02, 5.1923521E-02, 8.5238672E-02, 3.5300000E-05, 1.3400364E-05, 8.1576289E-06, 2.3780649E-05, 1.2293000E-01, 9.4519253E-02, 6.6010033E-02, 1.1513387E-01,      24.43609,      18.79699,      14.28571,      14.28571,      9.022556,      9.398496,      4.135338,      4.511278,
"",            55,            85,           133,   0.001315976,  0.0008796983,  0.0005437967,   0.001444004, 4.0100000E-06,6.70037405e-006, 4.0720848E-06, 1.0225470E-05, 1.1500000E-06, 1.2919922E-06, 8.5682677E-07, 2.0929926E-06, 2.4061000E-04, 1.5665672E-04, 6.9266556E-05, 2.8324736E-04, 2.9300000E-07, 1.6470872E-07, 8.5681541E-08, 2.9883037E-07, 3.1722000E-03, 2.2644428E-03, 1.2659827E-03, 3.9394445E-03, 2.2400000E-07, 6.0720398E-08, 3.2235307E-08, 1.5272172E-07, 7.6189000E-03, 4.7364429E-03, 2.3426398E-03, 7.4154388E-03, 6.2300000E-08, 2.4453504E-08, 8.8276186E-09, 7.3512477E-08, 1.4710000E-02, 7.9616511E-03, 3.7473548E-03, 1.3817771E-02,      28.57143,      19.54887,      10.52632,      16.54135,      6.766917,      6.766917,      4.511278,      4.511278,

Diagnostics VPC  
""," False pos (%)"," False neg (%)",
"       PI 40% ",         25.25,          21.6,
"       PI 80% ",         11.55,          11.7,
"       PI 90% ",          6.15,           7.8,
"       PI 95% ",          3.55,             5,

NPC results  
bin 2: 134 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            60,      44.77612,              ,      41.04478,      58.20896,            74,      55.22388,              ,      41.79104,      58.95522,
"        40% PI",            27,      20.14925,             *,      22.38806,      37.31343,            50,      37.31343,              ,      21.64179,       38.0597,
"        80% PI",            11,      8.208955,              ,      5.970149,      14.92537,            19,       14.1791,              ,      4.477612,      15.67164,
"        90% PI",             5,      3.731343,              ,      1.492537,      8.955224,             9,      6.716418,              ,      1.492537,      8.955224,
"        95% PI",             2,      1.492537,              ,             0,      5.223881,             6,      4.477612,              ,             0,      5.223881,

NPC results  
bin 3: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            69,       51.8797,              ,      42.10526,      58.64662,            64,       48.1203,              ,      41.35338,      57.89474,
"        40% PI",            40,      30.07519,              ,      21.80451,      38.34586,            46,      34.58647,              ,      22.55639,      38.34586,
"        80% PI",            18,      13.53383,              ,      5.263158,      15.03759,            16,      12.03008,              ,      5.263158,      15.03759,
"        90% PI",             7,      5.263158,              ,      1.503759,      9.022556,             6,      4.511278,              ,      1.503759,      9.022556,
"        95% PI",             4,      3.007519,              ,             0,      5.263158,             4,      3.007519,              ,             0,      4.511278,

NPC results  
bin 4: 267 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",           141,      52.80899,              ,      44.56929,      55.80524,           126,      47.19101,              ,      44.19476,      55.43071,
"        40% PI",            89,      33.33333,              ,      25.09363,      35.58052,            76,      28.46442,              ,       24.7191,      35.95506,
"        80% PI",            29,      10.86142,              ,      6.741573,      13.48315,            26,      9.737828,              ,      6.367041,      13.10861,
"        90% PI",            19,      7.116105,              ,      2.621723,      7.865169,            19,      7.116105,              ,      2.621723,      7.490637,
"        95% PI",            15,      5.617978,             *,     0.7490637,       4.11985,             8,      2.996255,              ,     0.7490637,       4.11985,

NPC results  
bin 5: 134 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            67,            50,              ,      41.04478,      57.46269,            67,            50,              ,      42.53731,      58.95522,
"        40% PI",            39,      29.10448,              ,      22.38806,      37.31343,            42,      31.34328,              ,      21.64179,      37.31343,
"        80% PI",            13,      9.701493,              ,      5.223881,      15.67164,            13,      9.701493,              ,      5.223881,      14.92537,
"        90% PI",            10,      7.462687,              ,      1.492537,      8.955224,             8,      5.970149,              ,      2.238806,      8.955224,
"        95% PI",             8,      5.970149,             *,             0,      5.223881,             2,      1.492537,              ,             0,      5.223881,

NPC results  
bin 6: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            75,      56.39098,              ,      42.10526,      57.89474,            58,      43.60902,              ,      42.10526,      57.89474,
"        40% PI",            61,      45.86466,             *,      22.55639,      39.09774,            35,      26.31579,              ,      21.80451,      36.84211,
"        80% PI",            16,      12.03008,              ,      4.511278,      15.03759,            12,      9.022556,              ,      5.263158,      15.03759,
"        90% PI",            10,      7.518797,              ,      1.503759,      9.022556,            12,      9.022556,              ,      1.503759,      9.022556,
"        95% PI",             4,      3.007519,              ,             0,      4.511278,             6,      4.511278,              ,             0,      5.263158,

NPC results  
bin 7: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            61,      45.86466,              ,      42.10526,      57.14286,            72,      54.13534,              ,      42.85714,      57.89474,
"        40% PI",            34,      25.56391,              ,      22.55639,      39.09774,            41,      30.82707,              ,      23.30827,      38.34586,
"        80% PI",             5,      3.759398,             *,      5.263158,      15.78947,            20,      15.03759,              ,      4.511278,      15.03759,
"        90% PI",             5,      3.759398,              ,      1.503759,      9.022556,            13,      9.774436,             *,      1.503759,      9.022556,
"        95% PI",             3,      2.255639,              ,             0,      5.263158,             3,      2.255639,              ,     0.7518797,      5.263158,

NPC results  
bin 8: 267 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",           130,      48.68914,              ,      44.19476,      56.17978,           137,      51.31086,              ,      43.82022,      55.80524,
"        40% PI",            86,      32.20974,              ,      24.34457,      35.58052,            78,      29.21348,              ,      23.97004,      35.58052,
"        80% PI",            23,      8.614232,              ,      7.116105,      13.85768,            29,      10.86142,              ,      6.741573,      13.48315,
"        90% PI",            11,       4.11985,              ,      2.621723,      7.865169,            13,      4.868914,              ,      2.621723,      7.490637,
"        95% PI",             6,      2.247191,              ,     0.7490637,       4.11985,             9,      3.370787,              ,     0.7490637,       4.11985,

NPC results  
bin 9: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            65,      48.87218,              ,      41.35338,      57.89474,            68,      51.12782,              ,      42.10526,      58.64662,
"        40% PI",            44,      33.08271,              ,      22.55639,      37.59398,            38,      28.57143,              ,      22.55639,      37.59398,
"        80% PI",            10,      7.518797,              ,      5.263158,      15.78947,            13,      9.774436,              ,      5.263158,      15.03759,
"        90% PI",             4,      3.007519,              ,      1.503759,      9.022556,             8,      6.015038,              ,      1.503759,      8.270677,
"        95% PI",             3,      2.255639,              ,             0,      5.263158,             6,      4.511278,              ,             0,      5.263158,

NPC results  
bin 10: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            63,      47.36842,              ,       40.6015,       59.3985,            70,      52.63158,              ,       40.6015,       59.3985,
"        40% PI",            36,      27.06767,              ,      22.55639,      38.34586,            37,      27.81955,              ,      23.30827,      38.34586,
"        80% PI",             7,      5.263158,              ,      5.263158,      15.03759,            15,       11.2782,              ,      5.263158,      15.78947,
"        90% PI",             4,      3.007519,              ,      1.503759,      9.022556,             8,      6.015038,              ,      1.503759,      9.022556,
"        95% PI",             4,      3.007519,              ,             0,      5.263158,             4,      3.007519,              ,             0,      5.263158,

NPC results  
bin 11: 134 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            63,      47.01493,              ,      40.29851,      58.20896,            71,      52.98507,              ,      41.79104,      59.70149,
"        40% PI",            33,      24.62687,              ,      22.38806,      36.56716,            44,      32.83582,              ,      23.13433,      37.31343,
"        80% PI",            14,      10.44776,              ,      5.223881,      14.92537,            12,      8.955224,              ,      5.223881,      14.92537,
"        90% PI",             9,      6.716418,              ,      1.492537,      9.701493,             5,      3.731343,              ,      1.492537,      8.955224,
"        95% PI",             5,      3.731343,              ,     0.7462687,      5.223881,             1,     0.7462687,              ,             0,      5.223881,

NPC results  
bin 12: 266 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",           132,      49.62406,              ,      43.60902,      56.39098,           134,      50.37594,              ,      43.60902,      56.39098,
"        40% PI",            79,      29.69925,              ,      24.43609,      35.33835,            83,      31.20301,              ,      24.81203,      36.09023,
"        80% PI",            31,      11.65414,              ,      6.015038,      13.53383,            28,      10.52632,              ,      6.766917,      13.15789,
"        90% PI",            18,      6.766917,              ,      2.631579,      7.894737,            11,      4.135338,              ,      2.631579,      7.518797,
"        95% PI",             8,      3.007519,              ,     0.7518797,      4.511278,             6,      2.255639,              ,     0.7518797,      4.511278,

NPC results  
bin 13: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            61,      45.86466,              ,      41.35338,      57.89474,            72,      54.13534,              ,      42.10526,      58.64662,
"        40% PI",            29,      21.80451,             *,      22.55639,      38.34586,            47,      35.33835,              ,      22.55639,      36.84211,
"        80% PI",            14,      10.52632,              ,      5.263158,      15.78947,            18,      13.53383,              ,      4.511278,      15.03759,
"        90% PI",             7,      5.263158,              ,      1.503759,      9.022556,             6,      4.511278,              ,      1.503759,      9.022556,
"        95% PI",             3,      2.255639,              ,             0,      5.263158,             3,      2.255639,              ,             0,      6.015038,
