VPC run info
"","          Date","  observations","   simulations","     Modelfile","Simulation model","Independent variable","Dependent variable","   PsN version","NONMEM version",
"",    2015-10-26,          2000,           300,     final.mod,auto-generated,          TIME,          CONC,        v4.2.0,       default,

VPC results strata STRT = 0
Continuous data
1000 observations out of 2000
"","        < TIME","            <=","    no. of obs","     mean real","      mean sim","95%CI for mean from","95%CI for mean to","      50% real","       50% sim","95%CI for 50% from","95%CI for 50% to","      30% real","       30% sim","95%CI for 30% from","95%CI for 30% to","      70% real","       70% sim","95%CI for 70% from","95%CI for 70% to","      10% real","       10% sim","95%CI for 10% from","95%CI for 10% to","      90% real","       90% sim","95%CI for 90% from","95%CI for 90% to","       5% real","        5% sim","95%CI for 5% from","95%CI for 5% to","      95% real","       95% sim","95%CI for 95% from","95%CI for 95% to","     2.5% real","      2.5% sim","95%CI for 2.5% from","95%CI for 2.5% to","    97.5% real","     97.5% sim","95%CI for 97.5% from","95%CI for 97.5% to","PI 40% False pos (%)","PI 40% False neg (%)","PI 80% False pos (%)","PI 80% False neg (%)","PI 90% False pos (%)","PI 90% False neg (%)","PI 95% False pos (%)","PI 95% False neg (%)",
"first interval is closed",          0.05,          0.15,            67,      14.21917,      13.87235,       13.4391,      14.34885, 1.3601000E+01,      13.41382, 1.2836584E+01, 1.4031475E+01, 1.2512000E+01, 1.2138667E+01, 1.1650268E+01, 1.2822502E+01, 1.4786000E+01, 1.4925433E+01, 1.4207288E+01, 1.5765396E+01, 1.0882000E+01, 1.0582184E+01, 1.0015977E+01, 1.1531908E+01, 1.9011000E+01, 1.8036960E+01, 1.6383266E+01, 1.9023270E+01, 1.0102000E+01, 9.8459955E+00, 8.7824507E+00, 1.0800783E+01, 2.1293000E+01, 1.9602703E+01, 1.7969699E+01, 2.1549441E+01, 9.9909000E+00, 9.0803221E+00, 8.2739471E+00, 1.0561595E+01, 2.1609000E+01, 2.1115752E+01, 1.8408571E+01, 2.2516820E+01,      17.91045,      17.91045,      13.43284,      8.955224,      5.970149,      7.462687,      5.970149,      2.985075,
"",          0.15,           0.3,            67,      10.96031,      10.84506,      10.50164,      11.22787, 1.0914000E+01,      10.74536, 1.0275840E+01, 1.1311908E+01, 9.9942000E+00, 9.5754698E+00, 9.0829256E+00, 1.0118662E+01, 1.1846000E+01, 1.2306174E+01, 1.1596946E+01, 1.2890255E+01, 8.8146000E+00, 7.5547940E+00, 6.8774721E+00, 8.5561962E+00, 1.3999000E+01, 1.4876773E+01, 1.3692611E+01, 1.5699222E+01, 7.6298000E+00, 4.7070004E+00, 2.9392002E+00, 6.8323101E+00, 1.5346000E+01, 1.5990423E+01, 1.4818272E+01, 1.7146063E+01, 5.3326000E+00, 2.5795266E+00, 1.8578260E+00, 5.9637840E+00, 1.5662000E+01, 1.6903566E+01, 1.5099032E+01, 1.7920199E+01,      14.92537,      32.83582,      8.955224,      19.40299,      1.492537,      7.462687,             0,      8.955224,
"",           0.3,          0.55,           133,      7.792896,      7.920888,      7.723233,      8.129259, 7.4060000E+00,      7.919225, 7.5136959E+00, 8.3257920E+00, 6.2767000E+00, 6.3631016E+00, 5.9633763E+00, 6.7389450E+00, 9.6014000E+00, 1.0050004E+01, 9.5699976E+00, 1.0439299E+01, 4.7833000E+00, 3.8502793E+00, 3.0946606E+00, 4.5304523E+00, 1.1238000E+01, 1.1747160E+01, 1.1270706E+01, 1.2299582E+01, 3.1381000E+00, 1.6415916E+00, 1.0645211E+00, 3.0839527E+00, 1.1784000E+01, 1.2449134E+01, 1.1783960E+01, 1.2931023E+01, 2.1268000E+00, 3.8585850E-01, 1.2762404E-01, 1.0148722E+00, 1.2381000E+01, 1.3012826E+01, 1.2242298E+01, 1.3744697E+01,      20.30075,      22.55639,      6.015038,      10.52632,      1.503759,      8.270677,     0.7518797,      6.015038,
"",          0.55,          0.85,            67,      5.694079,      5.907693,      5.634349,      6.146447, 5.7779000E+00,      6.452613, 5.7832686E+00, 7.1664780E+00, 3.5254000E+00, 4.0101816E+00, 3.5856417E+00, 4.6502655E+00, 7.9930000E+00, 8.0871190E+00, 7.6126309E+00, 8.4764273E+00, 1.8875000E+00, 1.8091963E+00, 1.3731548E+00, 2.6202877E+00, 9.3172000E+00, 9.2625325E+00, 8.6816843E+00, 9.6867374E+00, 1.0465000E+00, 7.3130959E-01, 2.9894753E-01, 1.5459632E+00, 1.0114000E+01, 9.7747280E+00, 9.1085902E+00, 1.0347770E+01, 6.4777000E-01, 7.2522955E-02, 9.0171816E-02, 1.2078074E+00, 1.0164000E+01, 1.0189103E+01, 9.2952011E+00, 1.0703074E+01,      25.37313,      22.38806,      7.462687,       11.9403,      5.970149,      5.970149,      1.492537,      8.955224,
"",          0.85,           1.5,            67,       3.24551,      3.663943,      3.456578,      3.867381, 2.1959000E+00,      3.143268, 2.6799274E+00, 3.7239495E+00, 1.7377000E+00, 1.7750025E+00, 1.4369337E+00, 2.2556776E+00, 4.9653000E+00, 5.7049859E+00, 4.9152268E+00, 6.2031597E+00, 3.3052000E-01, 1.8303949E-01, 1.2569691E-01, 5.2585076E-01, 7.4952000E+00, 7.3898057E+00, 6.8315784E+00, 7.8367172E+00, 1.8601000E-01, 3.9512012E-02, 2.3729663E-02, 9.7755123E-02, 8.0747000E+00, 7.8987261E+00, 7.3016232E+00, 8.4574713E+00, 4.6469000E-02, 2.2893263E-02, 1.7047349E-02, 6.3158987E-02, 8.2069000E+00, 8.2824409E+00, 7.4368227E+00, 8.7061186E+00,      20.89552,      38.80597,      7.462687,      19.40299,      4.477612,      8.955224,      1.492537,      7.462687,
"",           1.5,             3,            66,      1.443281,      1.401096,       1.27535,      1.521564,       0.42243,     0.5551102,     0.4030632,     0.7570931, 2.4752000E-01, 2.2467453E-01, 1.7220409E-01, 3.3001260E-01, 8.9861000E-01, 1.6212492E+00, 1.1620679E+00, 2.3012126E+00, 1.0153000E-01, 5.8464266E-02, 4.7820320E-02, 9.9720045E-02, 4.9302000E+00, 4.2175690E+00, 3.7322664E+00, 4.7467362E+00, 7.2923000E-02, 3.0943256E-02, 1.9555082E-02, 5.0407378E-02, 5.2748000E+00, 4.7257611E+00, 4.1613109E+00, 5.1902286E+00, 5.0827000E-02, 2.0166467E-02, 1.5734174E-02, 4.1112715E-02, 5.3156000E+00, 5.0987436E+00, 4.2310694E+00, 5.4981900E+00,      22.72727,      18.18182,      12.12121,      7.575758,      10.60606,      7.575758,      6.060606,      4.545455,
"",             3,           5.5,           134,     0.7594323,     0.7393562,     0.6876716,     0.7894282,       0.17043,     0.3255799,     0.2720208,     0.3950063, 1.2204000E-01, 1.4308953E-01, 1.2268744E-01, 1.7186420E-01, 8.2529000E-01, 1.0239762E+00, 8.4795800E-01, 1.2009639E+00, 6.9539000E-02, 5.3360348E-02, 4.0760408E-02, 6.9509794E-02, 2.3416000E+00, 2.0211126E+00, 1.7755812E+00, 2.2700276E+00, 4.7943000E-02, 2.6092847E-02, 1.8754443E-02, 4.1393532E-02, 2.6294000E+00, 2.4026579E+00, 2.0843176E+00, 2.6779366E+00, 2.2911000E-02, 1.4517152E-02, 9.7013075E-03, 2.1814456E-02, 3.0675000E+00, 2.6894277E+00, 2.3084058E+00, 3.0124048E+00,      20.89552,      22.38806,      13.43284,       11.9403,      8.208955,      8.955224,      5.223881,      6.716418,
"",           5.5,           8.5,            67,     0.3774776,     0.3772396,     0.3335331,     0.4213882, 8.7740000E-02,     0.1402283, 1.1190703E-01, 1.7856066E-01, 6.4193000E-02, 7.4459242E-02, 6.2145377E-02, 9.2918117E-02, 3.5060000E-01, 4.6506844E-01, 3.3374484E-01, 5.8273787E-01, 3.9476000E-02, 2.3160266E-02, 1.9156611E-02, 3.6467048E-02, 1.2422000E+00, 1.0932550E+00, 8.5054333E-01, 1.2687976E+00, 2.4549000E-02, 1.1170343E-02, 7.3379857E-03, 1.8668299E-02, 1.5284000E+00, 1.3549915E+00, 1.0813825E+00, 1.6559365E+00, 1.4068000E-02, 6.9513394E-03, 5.6513827E-03, 1.3701789E-02, 1.8228000E+00, 1.5792018E+00, 1.1485065E+00, 1.7949242E+00,      26.86567,      29.85075,       11.9403,      16.41791,      4.477612,       11.9403,      4.477612,      10.44776,
"",           8.5,            15,            66,     0.2675291,     0.2297692,     0.1959256,     0.2646413,     0.0466015,    0.06013836,    0.04874815,    0.07430183, 3.4805000E-02, 3.3999375E-02, 2.8559562E-02, 4.4689615E-02, 1.1174000E-01, 1.8536858E-01, 1.2675402E-01, 3.0981616E-01, 1.8416000E-02, 1.3404282E-02, 1.0029347E-02, 1.9994453E-02, 1.0423000E+00, 7.5266817E-01, 6.0275042E-01, 9.6001150E-01, 1.4411000E-02, 6.8189759E-03, 4.2517275E-03, 1.1308731E-02, 1.1729000E+00, 9.4605343E-01, 7.3449774E-01, 1.2153326E+00, 1.2455000E-02, 4.4292617E-03, 3.4480965E-03, 9.1843385E-03, 1.1890000E+00, 1.1099802E+00, 8.0341948E-01, 1.3268270E+00,      22.72727,      21.21212,      10.60606,      4.545455,      10.60606,      7.575758,      6.060606,      6.060606,
"",            15,            30,            67,     0.1233661,     0.1065134,    0.09039499,     0.1254248, 2.5044000E-02,    0.04102375, 2.9258748E-02, 5.8389463E-02, 9.1996000E-03, 1.1477315E-02, 8.6846085E-03, 1.6205143E-02, 1.4026000E-01, 1.3067341E-01, 9.7825578E-02, 1.6538841E-01, 5.4632000E-03, 3.7582314E-03, 2.7744473E-03, 5.6184942E-03, 3.3208000E-01, 3.0079418E-01, 2.1849018E-01, 3.7359021E-01, 3.2566000E-03, 2.0478240E-03, 1.2324314E-03, 3.6221152E-03, 5.2516000E-01, 3.9778827E-01, 2.9408339E-01, 5.3138270E-01, 3.0515000E-03, 9.4398611E-04, 7.8025392E-04, 2.9366266E-03, 5.7239000E-01, 4.8726923E-01, 3.2131665E-01, 6.1965392E-01,      34.32836,      14.92537,      10.44776,      13.43284,      8.955224,      7.462687,      7.462687,      2.985075,
"",            30,            55,           133,    0.01649393,    0.01151998,   0.008742682,    0.01490955, 3.7180000E-04,  0.0006182555, 4.6851696E-04, 8.2901842E-04, 1.8768000E-04, 2.1861715E-04, 1.6892292E-04, 2.9796497E-04, 2.4099000E-03, 4.7098059E-03, 2.9868678E-03, 6.9972381E-03, 6.6400000E-05, 4.5960064E-05, 2.8043902E-05, 7.0390266E-05, 6.1503000E-02, 3.7509480E-02, 2.4954729E-02, 5.1262553E-02, 4.3100000E-05, 2.0471465E-05, 1.3432081E-05, 3.7753402E-05, 9.6902000E-02, 6.2014358E-02, 4.1001134E-02, 8.2687600E-02, 2.8100000E-05, 1.0805574E-05, 5.1082724E-06, 2.0452630E-05, 1.3367000E-01, 8.9332081E-02, 5.6488992E-02, 1.3564314E-01,      27.06767,      18.04511,      12.03008,      15.03759,      7.518797,      10.52632,      6.015038,      5.263158,
"",            55,            85,            66,   0.001559485,    0.00077477,  0.0003218403,    0.00146223,    2.405e-006,4.05698395e-006,2.2035678e-006,7.12061385e-006, 9.3200000E-07, 1.0193894E-06, 5.9074424E-07, 2.0432223E-06, 3.7300000E-05, 4.4563890E-05, 1.9238776E-05, 1.3676946E-04, 3.3900000E-07, 1.3929110E-07, 6.5892966E-08, 3.7917753E-07, 3.5821000E-03, 1.8185169E-03, 8.3926201E-04, 4.2141799E-03, 2.2000000E-07, 5.2053217E-08, 1.6205969E-08, 1.7638539E-07, 1.0736000E-02, 4.1149053E-03, 1.5571318E-03, 8.8713385E-03, 1.9300000E-07, 2.2243833E-08, 7.9028814E-09, 1.5330697E-07, 1.6529000E-02, 7.4393496E-03, 2.1139400E-03, 1.2671822E-02,      27.27273,      22.72727,      7.575758,      15.15152,      9.090909,      7.575758,      7.575758,      3.030303,

Diagnostics VPC strata STRT = 0
""," False pos (%)"," False neg (%)",
"       PI 40% ",          23.3,            23,
"       PI 80% ",          10.2,          12.8,
"       PI 90% ",           6.4,           8.5,
"       PI 95% ",           4.3,           6.1,

NPC results strata STRT = 0
bin 2: 67 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            30,      44.77612,              ,      37.31343,      61.19403,            37,      55.22388,              ,      38.80597,      62.68657,
"        40% PI",            14,      20.89552,              ,      19.40299,      41.79104,            24,       35.8209,              ,      19.40299,      40.29851,
"        80% PI",             5,      7.462687,              ,      2.985075,      17.91045,             8,       11.9403,              ,      2.985075,      17.91045,
"        90% PI",             4,      5.970149,              ,             0,      10.44776,             6,      8.955224,              ,      1.492537,      10.44776,
"        95% PI",             0,             0,              ,             0,      7.462687,             3,      4.477612,              ,             0,      5.970149,

NPC results strata STRT = 0
bin 3: 67 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            28,      41.79104,              ,      37.31343,      62.68657,            39,      58.20896,              ,      37.31343,      62.68657,
"        40% PI",            18,      26.86567,              ,      19.40299,      40.29851,            26,      38.80597,              ,      20.89552,      41.79104,
"        80% PI",             7,      10.44776,              ,      4.477612,      17.91045,             9,      13.43284,              ,      2.985075,      17.91045,
"        90% PI",             5,      7.462687,              ,             0,      10.44776,             2,      2.985075,              ,             0,      10.44776,
"        95% PI",             4,      5.970149,              ,             0,      5.970149,             2,      2.985075,              ,             0,      7.462687,

NPC results strata STRT = 0
bin 4: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            66,      49.62406,              ,      41.35338,      57.89474,            67,      50.37594,              ,      42.10526,      58.64662,
"        40% PI",            43,      32.33083,              ,      22.55639,      37.59398,            39,      29.32331,              ,      22.55639,      36.84211,
"        80% PI",            14,      10.52632,              ,      5.263158,      15.03759,            12,      9.022556,              ,      5.263158,      15.78947,
"        90% PI",             7,      5.263158,              ,      1.503759,      8.270677,             7,      5.263158,              ,      1.503759,      9.774436,
"        95% PI",             5,      3.759398,              ,             0,      5.263158,             4,      3.007519,              ,             0,      5.263158,

NPC results strata STRT = 0
bin 5: 67 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            35,      52.23881,              ,      38.80597,      61.19403,            32,      47.76119,              ,      38.80597,      61.19403,
"        40% PI",            22,      32.83582,              ,      19.40299,      40.29851,            19,      28.35821,              ,      19.40299,      41.79104,
"        80% PI",             9,      13.43284,              ,      4.477612,      16.41791,             9,      13.43284,              ,      2.985075,      17.91045,
"        90% PI",             5,      7.462687,              ,             0,      10.44776,             4,      5.970149,              ,      1.492537,      10.44776,
"        95% PI",             5,      7.462687,             *,             0,      5.970149,             2,      2.985075,              ,             0,      5.970149,

NPC results strata STRT = 0
bin 6: 67 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            45,      67.16418,             *,      38.80597,      62.68657,            22,      32.83582,             *,      37.31343,      61.19403,
"        40% PI",            34,      50.74627,             *,      17.91045,      41.79104,            13,      19.40299,              ,      19.40299,      40.29851,
"        80% PI",            10,      14.92537,              ,      2.985075,      16.41791,             9,      13.43284,              ,      4.477612,      16.41791,
"        90% PI",             4,      5.970149,              ,             0,      10.44776,             5,      7.462687,              ,      1.492537,      10.44776,
"        95% PI",             3,      4.477612,              ,             0,      5.970149,             3,      4.477612,              ,             0,      5.970149,

NPC results strata STRT = 0
bin 7: 66 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            29,      43.93939,              ,      37.87879,      62.12121,            37,      56.06061,              ,      37.87879,      62.12121,
"        40% PI",            14,      21.21212,              ,      18.18182,      42.42424,            20,      30.30303,              ,      19.69697,      42.42424,
"        80% PI",             3,      4.545455,              ,      4.545455,      18.18182,             8,      12.12121,              ,      3.030303,      16.66667,
"        90% PI",             2,      3.030303,              ,             0,      9.090909,             4,      6.060606,              ,      1.515152,      10.60606,
"        95% PI",             2,      3.030303,              ,             0,      6.060606,             1,      1.515152,              ,             0,      6.060606,

NPC results strata STRT = 0
bin 8: 134 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            69,      51.49254,              ,      41.79104,      58.20896,            65,      48.50746,              ,      41.79104,      58.20896,
"        40% PI",            53,      39.55224,             *,      22.38806,       38.0597,            39,      29.10448,              ,      23.13433,      37.31343,
"        80% PI",            13,      9.701493,              ,      5.223881,      14.92537,            14,      10.44776,              ,      5.970149,      14.92537,
"        90% PI",             7,      5.223881,              ,      2.238806,      8.955224,             9,      6.716418,              ,      2.238806,      8.955224,
"        95% PI",             6,      4.477612,              ,             0,      5.223881,             3,      2.238806,              ,             0,      5.223881,

NPC results strata STRT = 0
bin 9: 67 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            37,      55.22388,              ,      38.80597,      62.68657,            30,      44.77612,              ,      37.31343,      61.19403,
"        40% PI",            26,      38.80597,              ,      19.40299,      41.79104,            16,       23.8806,              ,      19.40299,      41.79104,
"        80% PI",             8,       11.9403,              ,      4.477612,      16.41791,             8,       11.9403,              ,      4.477612,      17.91045,
"        90% PI",             4,      5.970149,              ,             0,      10.44776,             6,      8.955224,              ,      1.492537,      10.44776,
"        95% PI",             4,      5.970149,              ,             0,      7.462687,             3,      4.477612,              ,             0,      5.970149,

NPC results strata STRT = 0
bin 10: 66 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            29,      43.93939,              ,      37.87879,      65.15152,            37,      56.06061,              ,      34.84848,      62.12121,
"        40% PI",            17,      25.75758,              ,      18.18182,      42.42424,            21,      31.81818,              ,      19.69697,      43.93939,
"        80% PI",             2,      3.030303,              ,      3.030303,      18.18182,             7,      10.60606,              ,      3.030303,      18.18182,
"        90% PI",             2,      3.030303,              ,             0,      10.60606,             4,      6.060606,              ,             0,      10.60606,
"        95% PI",             1,      1.515152,              ,             0,      7.575758,             3,      4.545455,              ,             0,      6.060606,

NPC results strata STRT = 0
bin 11: 67 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            36,      53.73134,              ,      38.80597,      62.68657,            31,      46.26866,              ,      37.31343,      61.19403,
"        40% PI",            17,      25.37313,              ,      17.91045,      43.28358,            19,      28.35821,              ,      19.40299,      40.29851,
"        80% PI",             8,       11.9403,              ,      2.985075,      17.91045,             8,       11.9403,              ,      2.985075,      17.91045,
"        90% PI",             5,      7.462687,              ,      1.492537,      10.44776,             3,      4.477612,              ,             0,      10.44776,
"        95% PI",             2,      2.985075,              ,             0,      5.970149,             0,             0,              ,             0,      7.462687,

NPC results strata STRT = 0
bin 12: 133 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            67,      50.37594,              ,      41.35338,      58.64662,            66,      49.62406,              ,      41.35338,      58.64662,
"        40% PI",            36,      27.06767,              ,      21.80451,      38.34586,            39,      29.32331,              ,      21.80451,      39.09774,
"        80% PI",            18,      13.53383,              ,      5.263158,      16.54135,            14,      10.52632,              ,      5.263158,      15.03759,
"        90% PI",            11,      8.270677,              ,      1.503759,      9.022556,             7,      5.263158,              ,      1.503759,      9.022556,
"        95% PI",             5,      3.759398,              ,             0,      5.263158,             3,      2.255639,              ,             0,      5.263158,

NPC results strata STRT = 0
bin 13: 66 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            28,      42.42424,              ,      37.87879,      63.63636,            38,      57.57576,              ,      36.36364,      62.12121,
"        40% PI",            14,      21.21212,              ,      18.18182,      42.42424,            23,      34.84848,              ,      19.69697,      39.39394,
"        80% PI",             7,      10.60606,              ,      3.030303,      18.18182,             9,      13.63636,              ,      3.030303,      18.18182,
"        90% PI",             4,      6.060606,              ,             0,      10.60606,             3,      4.545455,              ,             0,      10.60606,
"        95% PI",             1,      1.515152,              ,             0,      6.060606,             2,      3.030303,              ,             0,      7.575758,

VPC results strata STRT = 1
Continuous data
1000 observations out of 2000
"","        < TIME","            <=","    no. of obs","     mean real","      mean sim","95%CI for mean from","95%CI for mean to","      50% real","       50% sim","95%CI for 50% from","95%CI for 50% to","      30% real","       30% sim","95%CI for 30% from","95%CI for 30% to","      70% real","       70% sim","95%CI for 70% from","95%CI for 70% to","      10% real","       10% sim","95%CI for 10% from","95%CI for 10% to","      90% real","       90% sim","95%CI for 90% from","95%CI for 90% to","       5% real","        5% sim","95%CI for 5% from","95%CI for 5% to","      95% real","       95% sim","95%CI for 95% from","95%CI for 95% to","     2.5% real","      2.5% sim","95%CI for 2.5% from","95%CI for 2.5% to","    97.5% real","     97.5% sim","95%CI for 97.5% from","95%CI for 97.5% to","PI 40% False pos (%)","PI 40% False neg (%)","PI 80% False pos (%)","PI 80% False neg (%)","PI 90% False pos (%)","PI 90% False neg (%)","PI 95% False pos (%)","PI 95% False neg (%)",
"first interval is closed",          0.05,          0.15,            67,      13.72472,      13.43742,      13.00841,      13.80859, 1.3654000E+01,      13.04596, 1.2515937E+01, 1.3603440E+01, 1.2660000E+01, 1.1994758E+01, 1.1453017E+01, 1.2528359E+01, 1.4499000E+01, 1.4287337E+01, 1.3617572E+01, 1.4880598E+01, 1.1213000E+01, 1.0621621E+01, 1.0141825E+01, 1.1396266E+01, 1.6265000E+01, 1.6637638E+01, 1.5295137E+01, 1.7682301E+01, 1.0183000E+01, 1.0006964E+01, 9.2418237E+00, 1.0818522E+01, 1.8216000E+01, 1.8349919E+01, 1.6538414E+01, 2.0120428E+01, 1.0143000E+01, 9.4970074E+00, 8.9831009E+00, 1.0582316E+01, 1.8929000E+01, 2.0178364E+01, 1.7172615E+01, 2.2041120E+01,      17.91045,      19.40299,      8.955224,      13.43284,      4.477612,      4.477612,      1.492537,      2.985075,
"",          0.15,           0.3,            66,      10.94184,      11.09512,      10.74066,      11.43765,        10.563,      10.88222,      10.44074,      11.41155, 9.4973000E+00, 9.8495585E+00, 9.4306871E+00, 1.0334843E+01, 1.1567000E+01, 1.2138656E+01, 1.1571262E+01, 1.2882521E+01, 8.2678000E+00, 8.5391239E+00, 7.9590810E+00, 9.2383170E+00, 1.4842000E+01, 1.4347501E+01, 1.3483807E+01, 1.5445144E+01, 7.8342000E+00, 7.8374440E+00, 7.0773396E+00, 8.6326420E+00, 1.5279000E+01, 1.5386008E+01, 1.4140266E+01, 1.6426401E+01, 7.6319000E+00, 6.8078439E+00, 6.1557233E+00, 8.4497951E+00, 1.5997000E+01, 1.6189780E+01, 1.4426611E+01, 1.7118969E+01,      22.72727,      21.21212,      12.12121,      10.60606,      3.030303,      6.060606,             0,      3.030303,
